context,ds,topic
特朗普建议：肺部注射消毒剂来杀死新冠病毒……L汽车经典之家的微博视频,2020/4/30 23:59,trump
特朗普发飙了！O特朗普发飙了！,2020/4/30 23:58,trump
特朗普怒怼美国记者！L贾说方言的微博视频,2020/4/30 23:58,trump
【一对活宝！特朗普：佩洛西只想放假吃雪糕；佩洛西：总比倒消毒水进肺好。】在#美国新冠肺炎累计确诊超100万#之际，美国众议院4月28日决定取消原定在5月4日复会的计划。总统特朗普批评民主党只想放假，又指众议院议长佩洛西只想“吃雪糕”。受#美国疫情#影响，众议院多数民主党领袖佩洛西表示，在咨询国会医生意见后，决定取消原定5月4日的复会计划，但称希望可以尽快复会。受共和党控制的参议院，则按原定计划在5月4日复会。特朗普回应众议院决定持续休会时表示，自己希望国会能恢复运作，批评民主党只想放假，和佩洛西只是想吃雪糕。佩洛西在14日遥距出席一个电视节目时，展示自己在家中雪柜收藏的大量雪糕，并即场拿了其中一个来吃。佩洛西28日回应特朗普的批评，指“吃雪糕总好过有人倒消毒水进肺”，讽刺特朗普注射消毒剂治疗#新型冠状病毒#患者的言论。,2020/4/30 23:57,trump
#新闻联播评蓬佩奥正在向全世界叫板#蓬佩奥和特朗普俩人半斤八两，都喜欢抽风,2020/4/30 23:57,trump
美国总统特朗普表示，对新冠肺炎病毒疫苗的研制努力并不是过度乐观的O网页链接,2020/4/30 23:55,trump
#益伴#推荐益伴APP听书《为什么我们总是在逃避》《华盛顿邮报》指出，虽然特朗普不想让疫情和经济成为美国总统大选的关注热点，但就美国现状而言，这已不可避免...O网页链接（分享自@益伴官方微博）,2020/4/30 23:55,trump
美疾控中心主任称疫情可能迎来第二波特朗普：你给我重说！UP主:大象视频#bilibili#O美疾控中心主任称疫情可能迎来第二波特朗普：你给我重说！(哔哩哔哩客户端下载O网页链接)O美疾控中心主任称疫情可能迎来第二波特朗普：你给我重说！,2020/4/30 23:54,trump
"【美媒慌了：特朗普会让中国再次伟大】美国《国家利益》杂志发表题为《后疫情时代，特朗普政府会让中国再度伟大吗？》的文章。文章详细对比了中美在抗击新冠肺炎疫情中的不同表现，指出这种迥异表现可能导致世界秩序发生重大转变。TheAmericandiplomaticmagazineTheNationalInterestpublishedanarticleMondaytitled""WilltheTrumpWhiteHouseMakeChinaGreatAgaininaPost-PandemicEra?""ThearticlepointedoutthatChinaandtheUnitedStateshavebehavedverydifferentlyduringthisepidemic,whichmayleadtoamajorshiftintheworldorder.O美媒慌了：特朗普会让中国再次伟大",2020/4/30 23:54,trump
【惹人疼爱的女孩】：1、拥有清澈天真的眼神；2、喜欢微笑；3、善良；4、懂事有礼貌；5、保留爱幻想的习惯；6、爱看书；7、对自己的人生有目标；8、干净整洁；9、适当撒娇装傻；10、会照顾别人。#特朗普回应美国确诊病例超百万#,2020/4/30 23:53,trump
【快讯】特朗普表示，预计食品供应链将如以往一样强劲。微博财经7X24小时频道,2020/4/30 23:52,trump
【快讯】特朗普表示，正在讨论向美国人发放更多援助支票。微博财经7X24小时频道,2020/4/30 23:52,trump
雅虎下面评论区居然会有一边倒的反特朗普抬举中国，我都惊了怀疑自己是不是翻译错了。,2020/4/30 23:51,trump
川普同志醒醒吧！你的老朋友向你喊话了：美国人的生命比你的选举更重要。特朗普：不，我还可以梦一万年，梦出地球！你永远叫醒不了一个装睡的人一个脑残做着美国总统，连着美国人都不正常了，真搞不懂美国怎么会有这样的领导人。特朗普政府向中国甩锅已经表演到公开耍政治流氓的巅峰区，这也意味着它在逐渐走向玩不下去的崩溃点！@CGTN@头条新闻@三有木900@天上人间客82634@坚持真理687#跟新浪看热点#O特朗普发飙了！,2020/4/30 23:51,trump
哈哈哈哈哈牛逼热点里面刷新不是特朗普就是鬼东西,2020/4/30 23:50,trump
【#肉厂超6500员工确诊特朗普强制开工#】特朗普在白宫的一份声明中说，一些大型肉类加工厂因疫情关闭，这对全美肉类供应链的持续运行构成威胁，损害了国家紧急状态下的“关键基础设施”。#海外抗疫日记##快鱼快报#他根据《国防生产法案》要求美国农业部采取所有适当举措确保肉类加工厂继续运营。美国多家工会组织抨击了这一举措，称总统此举无视新冠疫情给肉类加工业工人带来的健康风险，要求政府给予工人更多保护。L全球眼News的秒拍视频,2020/4/30 23:50,trump
特朗普表示，正在讨论向美国人发放更多援助支票。,2020/4/30 23:50,trump
"我正在读【特朗普之后,欧洲“索赔第一枪”由意大利打响,中有必要回应】分享给你一起看O网页链接分享来自绿茶浏览器！",2020/4/30 23:50,trump
我围观了@光远看经济的回答，该问题价值299.00元，围观仅1元，快来一起围观~O微博问答,2020/4/30 23:50,trump
#安倍称经济形势比大萧条时期更严峻#现在看已经有可能了！这才像个首相。就想问特朗普每天都在搞什么,2020/4/29 23:58,trump
《记者质问特朗普：短短6周死亡人数超过越战，还能理所当然连任？》此视频已有248万次播放，快来一起看看！O网页链接,2020/4/29 23:58,trump
【娜娜说娱乐】父亲特朗普面临弹劾风波你作何感想？伊万卡一句话逗笑主持人父亲特朗普面临弹劾风波你作何感想？伊万卡一句话逗笑主持人O网页链接,2020/4/29 23:58,trump
《特朗普回应病例数破百万：专家告诉我美国不会受影响他们错了》此视频已有5552次播放，快来一起看看！O网页链接,2020/4/29 23:58,trump
为什么特朗普不是钢铁侠,2020/4/29 23:58,trump
【译言网】当地时间4月28日，白宫举办了一场小型商业活动，总统唐纳德·特朗普和大女儿伊万卡，连同财政伊万卡返回白宫，连体裤尽显挺拔身姿，大方演讲比总统爸爸还自信O网页链接,2020/4/29 23:58,trump
