ds,emotion_val,topic,predict
2/01,1.2,trump,0
2/02,0.9333333333333333,trump,0
2/03,0.9333333333333333,trump,0
2/04,0.9333333333333333,trump,0
2/05,0.5333333333333333,trump,0
2/06,-0.13333333333333333,trump,0
2/07,1.1333333333333333,trump,0
2/08,1.0666666666666667,trump,0
2/09,0.6,trump,0
2/10,0.3333333333333333,trump,0
2/11,0.4,trump,0
2/12,1.7333333333333334,trump,0
2/13,1.0666666666666667,trump,0
2/14,0.26666666666666666,trump,0
2/15,0.4,trump,0
2/16,0.6,trump,0
2/17,0.8666666666666667,trump,0
2/18,0.3333333333333333,trump,0
2/19,1.3333333333333333,trump,0
2/20,0.6666666666666666,trump,0
2/21,0.8666666666666667,trump,0
2/22,0.8,trump,0
2/23,0.9333333333333333,trump,0
2/24,0.6666666666666666,trump,0
2/25,0.6666666666666666,trump,0
2/26,1.7333333333333334,trump,0
2/27,0.6,trump,0
2/28,1.1333333333333333,trump,0
2/29,0.8333333333333334,trump,0
3/01,-0.133333333,trump,0
3/02,1.2,trump,0
3/03,0.6,trump,0
3/04,0.6,trump,0
3/05,0.6,trump,0
3/06,0.533333333,trump,0
3/07,0.866666667,trump,0
3/08,0.6,trump,0
3/09,0.866666667,trump,0
3/10,1.2,trump,0
3/11,1.133333333,trump,0
3/12,1.133333333,trump,0
3/13,1.533333333,trump,0
3/14,1.2,trump,0
3/15,1.733333333,trump,0
3/16,0.4,trump,0
3/17,1.4,trump,0
3/18,0.066666667,trump,0
3/19,1.2,trump,0
3/20,1.133333333,trump,0
3/21,0,trump,0
3/22,1.2,trump,0
3/23,0.666666667,trump,0
3/24,0.733333333,trump,0
3/25,0.933333333,trump,0
3/26,0.666666667,trump,0
3/27,1.2,trump,0
3/28,1.4,trump,0
3/29,0.933333333,trump,0
3/30,1.133333333,trump,0
3/31,0.923076923,trump,0
4/01,0.8666666666666667,trump,0
4/02,1.1333333333333333,trump,0
4/03,0.3333333333333333,trump,0
4/04,-0.6666666666666666,trump,0
4/05,0.4666666666666667,trump,0
4/06,0.4,trump,0
4/07,0.8666666666666667,trump,0
4/08,-0.26666666666666666,trump,0
4/09,-0.2,trump,0
4/10,0.3333333333333333,trump,0
4/11,0.6,trump,0
4/12,1.2666666666666666,trump,0
4/13,0.4,trump,0
4/14,0.4,trump,0
4/15,0.9333333333333333,trump,0
4/16,0.6666666666666666,trump,0
4/17,0.6,trump,0
4/18,1.1333333333333333,trump,0
4/19,0.8,trump,0
4/20,1.7333333333333334,trump,0
4/21,0.6666666666666666,trump,0
4/22,1.2,trump,0
4/23,0.06666666666666667,trump,0
4/24,1.2,trump,0
4/25,0.3333333333333333,trump,0
4/26,0.0,trump,0
4/27,0.6,trump,0
4/28,0.4,trump,0
4/29,-0.4,trump,0
4/30,1.5454545454545454,trump,0
5/01,0.4,trump,0
5/02,0.4,trump,0
5/03,0.5333333333333333,trump,0
5/04,0.9333333333333333,trump,0
5/05,1.3333333333333333,trump,0
5/06,1.2,trump,0
5/07,1.2,trump,0
5/08,1.2,trump,0
5/09,1.1333333333333333,trump,0
5/10,-0.4,trump,0
5/11,0.9333333333333333,trump,0
5/12,-0.2,trump,0
5/13,-0.13333333333333333,trump,0
5/14,-0.13333333333333333,trump,0
5/15,0.9333333333333333,trump,0
5/16,0.6,trump,0
5/17,0.06666666666666667,trump,0
5/18,-0.2,trump,0
5/19,0.9333333333333333,trump,0
5/20,1.4,trump,0
5/21,1.4,trump,0
5/22,0.5333333333333333,trump,0
5/23,-0.13333333333333333,trump,0
5/24,0.8666666666666667,trump,0
5/25,0.6666666666666666,trump,0
5/26,0.13333333333333333,trump,0
5/27,0.06666666666666667,trump,0
5/28,1.5333333333333334,trump,0
5/29,0.4,trump,0
5/30,0.4,trump,0
5/31,0.6,trump,0
