ds,emotion_val,topic,predict
2/01,1.733333333,lol,0
2/02,1.733333333,lol,0
2/03,1.466666667,lol,0
2/04,1.666666667,lol,0
2/05,1.466666667,lol,0
2/06,1.933333333,lol,0
2/07,2,lol,0
2/08,1.666666667,lol,0
2/09,1.733333333,lol,0
2/10,1.466666667,lol,0
2/11,1.866666667,lol,0
2/12,1.733333333,lol,0
2/13,1.666666667,lol,0
2/14,1.733333333,lol,0
2/15,1.733333333,lol,0
2/16,1.733333333,lol,0
2/17,1.733333333,lol,0
2/18,1.733333333,lol,0
2/19,1.466666667,lol,0
2/20,2,lol,0
2/21,1.733333333,lol,0
2/22,1.733333333,lol,0
2/23,1.4,lol,0
2/24,1.733333333,lol,0
2/25,1.733333333,lol,0
2/26,1.733333333,lol,0
2/27,1.466666667,lol,0
2/28,1.666666667,lol,0
2/29,2,lol,0
3/01,1.466666667,lol,0
3/02,1.466666667,lol,0
3/03,1.4,lol,0
3/04,1.666666667,lol,0
3/05,2,lol,0
3/06,1.2,lol,0
3/07,1.133333333,lol,0
3/08,2,lol,0
3/09,2,lol,0
3/10,1.4,lol,0
3/11,1.733333333,lol,0
3/12,1.466666667,lol,0
3/13,0.6,lol,0
3/14,2,lol,0
3/15,1.4,lol,0
3/16,2,lol,0
3/17,1.933333333,lol,0
3/18,1.666666667,lol,0
3/19,1.866666667,lol,0
3/20,2,lol,0
3/21,1.666666667,lol,0
3/22,1.933333333,lol,0
3/23,1.466666667,lol,0
3/24,2,lol,0
3/25,1.6,lol,0
3/26,1.733333333,lol,0
3/27,1.466666667,lol,0
3/28,2,lol,0
3/29,1.466666667,lol,0
3/30,2,lol,0
3/31,1.666666667,lol,0
4/01,0.933333333,lol,0
4/02,1.666666667,lol,0
4/03,1.733333333,lol,0
4/04,1.733333333,lol,0
4/05,0.933333333,lol,0
4/06,1.733333333,lol,0
4/07,1.4,lol,0
4/08,1.666666667,lol,0
4/09,1.933333333,lol,0
4/10,1.733333333,lol,0
4/11,2,lol,0
4/12,1.666666667,lol,0
4/13,1.733333333,lol,0
4/14,2,lol,0
4/15,1.2,lol,0
4/16,1.466666667,lol,0
4/17,2,lol,0
4/18,1.733333333,lol,0
4/19,2,lol,0
4/20,1.466666667,lol,0
4/21,1.2,lol,0
4/22,0.933333333,lol,0
4/23,1.466666667,lol,0
4/24,1.466666667,lol,0
4/25,1.6,lol,0
4/26,0.666666667,lol,0
4/27,0.8,lol,0
4/28,2,lol,0
4/29,1.933333333,lol,0
4/30,1.733333333,lol,0
5/01,2,lol,0
5/02,1.666666667,lol,0
5/03,1.733333333,lol,0
5/04,1.2,lol,0
5/05,1.733333333,lol,0
5/06,1.2,lol,0
5/07,1.733333333,lol,0
5/08,1.2,lol,0
5/09,1.866666667,lol,0
5/10,1.666666667,lol,0
5/11,1.2,lol,0
5/12,1.2,lol,0
5/13,2,lol,0
5/14,1.866666667,lol,0
5/15,2,lol,0
5/16,1.2,lol,0
5/17,1.133333333,lol,0
5/18,1.666666667,lol,0
5/19,1.2,lol,0
5/20,1.466666667,lol,0
5/21,2,lol,0
5/22,1.2,lol,0
5/23,1.2,lol,0
5/24,1.4,lol,0
5/25,1.933333333,lol,0
5/26,1.4,lol,0
5/27,0.6,lol,0
5/28,1.466666667,lol,0
5/29,1.733333333,lol,0
5/30,1.4,lol,0
5/31,1.733333333,lol,0
