ds,emotion_val,topic,predict
02/01,1.6666666666666667,zns,0
02/02,1.6666666666666667,zns,0
02/03,0.06666666666666667,zns,0
02/04,1.6666666666666667,zns,0
02/05,1.4,zns,0
02/06,0.9333333333333333,zns,0
02/07,0.6,zns,0
02/08,2.0,zns,0
02/09,1.4666666666666666,zns,0
02/10,1.2,zns,0
02/11,0.9333333333333333,zns,0
02/12,1.4,zns,0
02/13,1.2,zns,0
02/14,1.7333333333333334,zns,0
02/15,1.4666666666666666,zns,0
02/16,2.0,zns,0
02/17,1.4,zns,0
02/18,1.4666666666666666,zns,0
02/19,1.9333333333333333,zns,0
02/20,1.7333333333333334,zns,0
02/21,2.0,zns,0
02/22,1.0666666666666667,zns,0
02/23,1.7333333333333334,zns,0
02/24,1.4,zns,0
02/25,1.4,zns,0
02/26,1.6666666666666667,zns,0
02/27,1.0666666666666667,zns,0
02/28,1.6666666666666667,zns,0
02/29,2.0,zns,0
03/01,1.6666666666666667,zns,0
03/02,2.0,zns,0
03/03,1.4666666666666666,zns,0
03/04,1.7333333333333334,zns,0
03/05,1.7333333333333334,zns,0
03/06,1.7333333333333334,zns,0
03/07,1.9333333333333333,zns,0
03/08,1.6,zns,0
03/09,1.2,zns,0
03/10,1.4666666666666666,zns,0
03/11,1.9333333333333333,zns,0
03/12,1.7333333333333334,zns,0
03/13,1.6,zns,0
03/14,1.7333333333333334,zns,0
03/15,1.0666666666666667,zns,0
03/16,1.4,zns,0
03/17,1.4,zns,0
03/18,1.4,zns,0
03/19,0.6,zns,0
03/20,1.6666666666666667,zns,0
03/21,2.0,zns,0
03/22,1.2,zns,0
03/23,1.1333333333333333,zns,0
03/24,1.3333333333333333,zns,0
03/25,1.4666666666666666,zns,0
03/26,2.0,zns,0
03/27,1.7333333333333334,zns,0
03/28,0.8666666666666667,zns,0
03/29,2.0,zns,0
03/30,1.2666666666666666,zns,0
03/31,1.4666666666666666,zns,0
04/01,1.4666666666666666,zns,0
04/02,1.3333333333333333,zns,0
04/03,1.4666666666666666,zns,0
04/04,2.0,zns,0
04/05,1.7333333333333334,zns,0
04/06,2.0,zns,0
04/07,0.6666666666666666,zns,0
04/08,1.7333333333333334,zns,0
04/09,1.4666666666666666,zns,0
04/10,1.7333333333333334,zns,0
04/11,1.4,zns,0
04/12,1.4666666666666666,zns,0
04/13,1.7333333333333334,zns,0
04/14,1.7333333333333334,zns,0
04/15,0.6666666666666666,zns,0
04/16,0.5333333333333333,zns,0
04/17,2.0,zns,0
04/18,1.2,zns,0
04/19,1.4,zns,0
04/20,1.2,zns,0
04/21,2.0,zns,0
04/22,1.7333333333333334,zns,0
04/23,1.4666666666666666,zns,0
04/24,1.6666666666666667,zns,0
04/25,1.4,zns,0
04/26,1.4666666666666666,zns,0
04/27,2.0,zns,0
04/28,1.7333333333333334,zns,0
04/29,2.0,zns,0
04/30,1.4,zns,0
05/01,1.4,zns,0
05/02,2.0,zns,0
05/03,1.4666666666666666,zns,0
05/04,2.0,zns,0
05/05,2.0,zns,0
05/06,1.9333333333333333,zns,0
05/07,1.0666666666666667,zns,0
05/08,1.7333333333333334,zns,0
05/09,0.8,0,zns
05/10,1.7333333333333334,0,zns
05/11,0.6666666666666666,0,zns
05/12,2.0,zns,0
05/13,1.2,zns,0
05/14,0.6666666666666666,zns,0
05/15,2.0,zns,0
05/16,1.3333333333333333,zns,0
05/17,1.4666666666666666,zns,0
05/18,1.1333333333333333,zns,0
05/19,1.2,zns,0
05/20,1.6666666666666667,zns,0
05/21,0.8,zns,0
05/22,2.0,zns,0
05/23,1.8666666666666667,zns,0
05/24,1.4666666666666666,zns,0
05/25,1.4666666666666666,zns,0
05/26,2.0,zns,0
05/27,1.4666666666666666,zns,0
05/28,1.6666666666666667,zns,0
05/29,1.4666666666666666,zns,0
05/30,2.0,zns,0
05/31,2.0,zns,0
