id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4460783049872880,IpvfaFqo0,1497882593,胡舒立,【提升生猪自给率广东提出五年内建设30个10万头养殖场】非洲猪瘟疫情将推动一部分防范能力不足的养殖户退出市场，生猪行业集中度料将提升O提升生猪自给率广东提出五年内建设30个10万头养殖场（来自财新客户端）,,,,,5,8,15,2020-01-14 23:50,财新App,['http://ww4.sinaimg.cn/large/5947dfe1ly1gawiyv16ptj20dc08w3zg.jpg'],,
4460777303513195,Ipv5UeJWr,7310744124,點新聞dotdotnews,【世衞組織：目前沒有明確證據指武漢新型冠狀病毒人傳人】世界衞生組織香港時間14日晚在社交媒體上表示，初步調查指沒有足夠明顯的證據顯示武漢新型冠狀病毒能夠人傳人。此前，世衞組織發表聲明，呼籲各個國家持續對武漢新型冠狀病毒開展積極監測和防範，並且重申應繼續開展調查確定此次疫情源頭以及任何動物宿主或中間宿主。值得注意的是，在世衞組織於社交媒體的這一表態之前，路透社有報道引用世衞組織的言論，稱武漢新型冠狀病毒「有限度」人傳人。,,,,,3,3,23,2020-01-14 23:27,微博 weibo.com,['http://ww2.sinaimg.cn/large/007YL8vOgy1gawiatgk05j30ga09uwiy.jpg'],,
4460775038702137,Ipv2fAvP3,1315587597,中国证券报,【新突破！这家上市公司完成新型冠状病毒检测试剂盒，今日盘中股价直线拉升】武汉肺炎疫情病原体新型冠状病毒防治研发有了新突破！1月14日晚间，硕世生物发布公告称，公司于2020年1月13日完成新型冠状病毒核酸检测试剂盒以及冠状病毒通用型核酸检测试剂盒，可用于新型冠状病毒以及其他冠状病毒的检测。O新突破！这家上市公司完成新型冠状病毒检测试剂盒，今日盘中股价直线拉升,,,,,10,0,7,2020-01-14 23:18,微博 weibo.com,,,
4460774422400352,Ipv1ga4rm,6381135458,倒影星空,一年多没见啦好想你们等疫情结束之后最想见生我养我的妈妈爸爸照顾好自己等春暖花开时，我们在相见！,,,,,0,0,0,2020-01-14 23:16,红米Redmi,['http://ww2.sinaimg.cn/large/006XQAPEly1gbp9xkjrvkj30du0dwzkf.jpg'],,
4460420725337538,IplOMmoxk,2165675255,樱桃冻柠茶,罗渽民🍯#罗渽民怦然心动#𝑻𝑯𝑬𝑫𝑹𝑬𝑨𝑴𝑺𝑯𝑶𝑾𝒊𝒏𝑴𝑨𝑪𝑨𝑼个人应援𝐎𝐍𝐋𝐘𝐅𝐎𝐑𝐉𝐀𝐄𝐌𝐈𝐍因为澳门场确定延期了，所以如果澳门场之后还有机会开的话应该还是会在澳门发放，如果澳门没有了就等有机会再发啦。抽奖还是会抽的，2月8号晚上抽，等疫情稳定后再寄出🙇🏻‍♀️领取条件：🎫➕渽民个人周边购买证明或民吧≥81.3🍊记录或2019年在民吧购买过两张专辑以上领取地点及时间：演出当天会发微博告知转发里抽两位民饭在澳门结束后付邮送手幅photoby@NineNights0813🙇🏻‍♀️O抽奖详情,,,NineNights0813,罗渽民怦然心动,113,66,82,2020-01-13 23:50,罗渽民超话,['http://ww4.sinaimg.cn/large/811594f7ly1gavd5gl3inj22vw536hdt.jpg'],,
4460416371744195,IplHL7jKb,2321390724,加拿大超级生活sUperLIFE,#加拿大新鲜事#多伦多圣米高医院的传染病学医生Dr.KamranKhan指出，由于SARS和武汉肺炎疫情都起源于露天市场，市场既出售活体动物也出售死动物，病毒的来源相类这一点不容忽视。他也指出，“在当今世界，疾病的蔓延速度令人难以置信，而我们实际上甚至还不知道这是什么。”，新闻：O网页链接,,,,加拿大新鲜事,1,1,5,2020-01-13 23:33,微博 weibo.com,['http://ww4.sinaimg.cn/large/8a5d9c84gy1gavcumfgwuj20hs0bu7dv.jpg'],,
4460413112922334,IplCvcgeq,5927623390,别看我不认识我什么都不知道谢谢,#疫情下和父母在一起的小时光#晚上觉得饿，也有点嘴馋的因素，突然想吃火鸡面，我就顺口一提想吃火鸡面，然后我妈还真就起身去了厨房准备给我弄，难道是因为我刚回家所以对我这么好？？这还是我妈嘛之后爸爸闻着香味过来了，他因为是第一次吃这个，不太了解，放了好多酱，我还说着让他少放点也不听，结果后来辣到不能自已哈哈哈哈对了今天小姨还带着俩娃过来玩了，小孩子真的是太磨人了，带了一会儿都快把我整废。。。回家第一天，还是不错滴明天出去玩咯，因为我已经发现手机不好玩了。,,,,疫情下和父母在一起的小时光,0,0,0,2020-01-13 23:20,OPPO R15 梦镜版,,,
4460412105743534,IplASo69E,2624100372,愚公2021,【永安期货----南方存栏有效恢复恐将至少是明年三季度】中长期看，产能的恢复对于猪价将产生抑制。但生猪养殖周期相对较长，存栏的恢复需要时间，以复养最早的东北调研数据为例，3-4月第一批留种母猪四季度已经开始产仔（与官方生猪存栏数据变化时间节点吻合），该批仔猪育肥出栏需要到明年一季度后。此外还需考虑南北方差异问题，本轮疫情南方去产能幅度高于北方，机构预估两湖区域产能去化60-70%，江西高达80%，且复养缓慢，按照8月以后开始陆续商转母计算，南方存栏有效恢复恐将至少是明年三季度。因此从存栏变化看猪价，明年上半年价格仍有望维持高位，但产能的恢复或使得猪价创新高难度加大，猪价周期性高点大概率已现。,,,,,20,2,4,2020-01-13 23:16,微博 weibo.com,,,
4460411774223730,IplAlhIMG,1141256010,KevinJ吉,发出这条视频1天之后，全国的疫情就全面爆发了，再晚一天，可能就没有这样轻松的心情去记录，还好只是流感LKevinJ吉的微博视频#全国确诊新型肺炎病例#,,,,全国确诊新型肺炎病例,1,22,7,2020-01-13 23:15,iPhone 11 Pro,,"http://f.video.weibocdn.com/000rLpRblx07A8et60pO01041200H9dw0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593418561&ssig=EUFlF%2FFVSp&KID=unistore,video",
4460408226452674,IpluCr4Do,7137962006,喜乐61506,狗狗粮。💯.有💯券💯不必到处找了，这里最齐全→→O网页链接........................春种一粒粟，秋收万颗子。自己通过十年寒窗，跳出了农门，可家中的兄长和父母却还在田地里劳作，也不知家里今年是否也是丰收之年，也不知家人的身体是否安康无恙……天高云淡，万里无云，一旁的张韫看着高明远目不转睛地看着两旁的乡野风光，也没有和高明远说话。张韫早知道高明远的农家子弟，眼前一幕幕熟悉的景色，恐怕早已撩拨起高明远泛滥的情思。只是这个时候不是谈论风月的时候，如果不是因为不远的村子里有疫情，张韫可能会邀请高明远走下马车，到田野里去走一走，呼吸充满乡土气息的空气，感受悠然见南山的怡然自得……,,,,,0,0,1,2020-01-13 23:00,红米Note7 4800万相机,,,
4460405373544279,Iplq1eS1N,7267302856,用户7267302856,疫情中我的所见所闻:从我回来开始的那天全国各地就开始陆陆续续暴露出新型冠状病毒所引发的肺炎病例。刚开始的时候，并没有引起我们多大的关注，但随着时间的推移，新型冠状病毒所引发的肺炎疫情越来越严重。网络上，许多话语都在为武汉加油。但不乏有责怪武汉人民因为吃野生动物而引发的疫情的言论。我身边的人都因为此次疫情而不出门。积极响应国家的号召。为此次疫情尽一份绵薄之力。无论走到哪里，每个人都戴着口罩。尤其是在电视上看着，往日武汉繁华的场景变成现在的荒芜一人并且随着时间的推移，患病的人越来越多。虽然钟南山教授说新型冠状病毒所引发的肺炎没有当年的非典严重。但是，增长的患病人员却越来越多，此次的疫情会比2003年的非典更为严重。引起恐慌。全国各地的医务人员纷纷赶往武汉为武汉助力。很多人都在为武汉捐赠口罩以及以及防护服。但却有某些医院赚国难钱，口罩的价格是平常十几倍。制造口罩的工厂主人也纷纷召集员工回来紧急加工保证全国人民的口罩需求。希望此次疫情赶快结束。中国加油，武汉加油＾０＾~。,,,,,0,0,1,2020-01-13 22:49,红包活动,,,
4460405110094404,IplpB0oyE,5574952881,复活交易,医药生物：补涨逻辑推动行业整体表现关注4股　　行业方面，肺炎疫情持续发酵，相关领域上市公司有望持续获得市场关注。业绩层面，上市公司的业绩预告显示CRO行业高增长的态势比较确定。建议继续围绕创新药及相关产业链、生物制品、医疗服务和医药消费等行业布局，重点关注恒瑞医药、鲁抗医药、爱尔眼科和长春高新等,,,,,0,0,0,2020-01-13 22:48,微博 weibo.com,,,
