id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4502097590976718,J0Szd465w,6207016062,锦文的小黄,小猪要回学校啦，我肯定会超级想她的。我5月份有最后的一次大考，小猪回学校也要准备考试，我们就打算等考试都考完了，就好好地没有顾虑地一起玩，在此之前都要认真地学习和备考哦。我之前跟她说很想她看我玩一次英雄联盟，因为之前我们都是玩王者的，但她从来没见过我用电脑玩游戏，就会很想要让她看看，感受一下小猪崇拜的眼神然后我也很想教她一起玩，我觉得男女朋友一起玩游戏真的蛮有意思的，而且可以在游戏中保护她。以前每次玩王者我都会好好地让着她保护她，虽然我们也有因为打游戏不开心过，不过在我的心里，我觉得开心多于其他的。我们就说想一起去一次电竞酒店，那里可以有两台电脑跟像普通的酒店一样，那样子我就可以亲身教她怎么玩游戏，还可以看到她玩游戏时的样子了。我真的很喜欢什么事也不做，就静静地看着她，有时候她会有很多事情跟我分享，我就会不说话，先安静地听她把想说的说完了，我才会开口告诉她我的看法啥的。我看着她就是会满心欢喜呀。,,,,,0,0,1,2020-05-07 23:59,iPhone客户端,,,
4502097482106836,J0Sz28Q5e,6179910434,游戏通关宝典,#英雄联盟#牧羊奥恩空大，诺手R闪，结局亮了！L游戏通关宝典的微博视频,,,,英雄联盟,0,0,0,2020-05-07 23:59,微博网页,,"http://f.video.weibocdn.com/gVEQyRNLlx07CYPQUlF601041200cN3K0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1593490367&ssig=EeEmeaQMkW&KID=unistore,video",
4502097423226202,J0SyWdxhw,5861857092,登封这些事儿,#登封生活#出道7年，3次世界冠军，Faker被誉为英雄联盟当之无愧第一人，5月7日Faker24岁生日，一起来祝李哥生日快乐！#中日韩三国电竞大赛11月举办#期待到时候李哥的精彩表演吧！,,登封市,,"登封生活,中日韩三国电竞大赛11月举办",0,0,26,2020-05-07 23:58,登封超话,['http://ww3.sinaimg.cn/large/006oHKO8ly1gekbue5h2hg30j70g5hdw.jpg'],,
4502097376739012,J0SyRsh7K,5085957388,一只Q仔,鹏鹏酱是不是除了英雄联盟和嗦粉其他啥也不会啊,,,,,0,0,0,2020-05-07 23:58,微博 weibo.com,,,
4502097363875946,J0SyQggjg,6842993170,Cryin的AP输出面板,#2020LPL#我已为@eStar英雄联盟分部送上奖杯，他是我心中的最强战队，快来和我一起为喜爱的战队加油吧！点击送奖杯↓O2020LPL战队势力榜,,,eStar英雄联盟分部,2020LPL,0,0,0,2020-05-07 23:58,微博体育,,,
4502097208800179,J0SyAAVkn,6605419265,诸神的精彩瞬间,【PDD】我这边就没队友呗！我这边就坏人当定了呗！#游戏主播##PDD##英雄联盟#L诸神的精彩瞬间的微博视频,,,,"游戏主播,PDD,英雄联盟",0,0,0,2020-05-07 23:58,微博网页,,"http://f.video.weibocdn.com/PWZ3ocHSlx07CXrlAVPq0104120014Al0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1593490367&ssig=C8UgVliVWR&KID=unistore,video",
4502096903147773,J0Sy6dcSx,6449343776,强悍556,解说不会打的团，RNG教你打，不得不说究极体的RNG团战真的强#春日游戏季##lol玩家的日常#英雄联盟L游戏团的微博视频,,,,"春日游戏季,lol玩家的日常",0,0,0,2020-05-07 23:56,微博 weibo.com,,,
4502096815102754,J0SxXlpsu,5234039175,电竞下饭神,英雄联盟冲冲,,,,,0,0,0,2020-05-07 23:56,英雄联盟超话,"['http://ww3.sinaimg.cn/large/005IduGHgy1gekbsb6pltj30u01hc7wh.jpg', 'http://ww2.sinaimg.cn/large/005IduGHgy1gekbsboq9yj30fi0fidgw.jpg']",,
4502096810897511,J0SxX3LtZ,6791636797,17173电竞,此前我们曾报道过中日韩三国将合力举办国家间的电子竞技对抗比赛一事，最新消息比赛将在11月举办#中日韩三国电竞大赛11月举办#英雄联盟,,,,中日韩三国电竞大赛11月举办,1,0,2,2020-05-07 23:56,英雄联盟超话,"['http://ww4.sinaimg.cn/large/007pD0YZgy1gekbqwsjuvj30v90g4acw.jpg', 'http://ww3.sinaimg.cn/large/007pD0YZgy1gekbqwei9bj30v911713e.jpg']",,
4502096780560576,J0SxU2lPy,6666859151,赖鸿煊侦探,【请宠爱我吧英雄联盟众多女英雄性感COS赏】今天小编给大家带来了《英雄联盟》中美女英雄的性感COS，护士装的阿卡丽、歌手装的阿狸、黑暗荆棘的莫甘娜...无论是Coser自身还是道具都让人眼前一亮。最后吼一下阿狸的台词：“请宠爱我吧！”#大数据#,,衢州·钟家,,大数据,0,0,0,2020-05-07 23:56,iPhone客户端,"['http://ww2.sinaimg.cn/large/7a18a68aly1gbc73ek0yzj20771svq7t.jpg', 'http://ww1.sinaimg.cn/large/006XlTZCly1gb6a2cfzu9j30ir27m1b8.jpg', 'http://ww2.sinaimg.cn/large/006XHONdly1gb8dphtz23j30id1qfgwn.jpg', 'http://ww2.sinaimg.cn/large/006Y2chBly1gc9bfatgwnj30gm1x110o.jpg', 'http://ww2.sinaimg.cn/large/95101c53ly1gc1df5o4r9j20fk2jz17d.jpg']",,
4502096617830440,J0SxDwR3q,7185091547,余晖不染霞,猜猜，我口音是哪里人呀L余晖不染霞的微博视频,,,,,0,0,0,2020-05-07 23:55,iPhone客户端,,"http://f.video.weibocdn.com/000CJp65gx07D5HGQPJR010412006FON0E010.mp4?label=mp4_ld&template=652x360.25.0&trans_finger=647b8232579b0b23561398fc756ef4ae&ori=0&ps=1BVp4ysnknHVZu&Expires=1593490367&ssig=fZcgjZWpIG&KID=unistore,video",
4502096462695024,J0Sxobj68,5948221926,钟离筑政湿飞翔阻菜,【英雄联盟之神探苍实战秘籍第六期：疾风剑豪亚索】L【神探苍实战秘籍】第六期疾风剑豪亚索#梦幻模拟战手游#,,,,梦幻模拟战手游,0,0,0,2020-05-07 23:55,iPhone客户端,['http://ww2.sinaimg.cn/large/007ht7gmly1gbqhdf4ahuj303k02o744.jpg'],,
4502096462071381,J0Sxo8GRn,6605843303,我和游戏恋爱啦,#英雄联盟#自认为是加里奥最帅的皮肤L我和游戏恋爱啦的微博视频,,,,英雄联盟,0,0,0,2020-05-07 23:55,微博网页,,"http://f.video.weibocdn.com/6a94ksTzlx07D5Elre2Q010412003CRx0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1593490367&ssig=4i1AB3OMff&KID=unistore,video",
4502096147458864,J0SwSviog,5251699046,重症热狗爱好者,英雄联盟绝地求生那些主播是怎么做到实力那么强的我打起来像用脚在玩,,,,,0,0,2,2020-05-07 23:53,肥宅,,,
4502095959180461,J0SwzCwfX,6605419272,电竞赛事大围观,#英雄联盟##LOL##竞技游戏#闺蜜团申请出站，可以把成都闺蜜团比下去吗L电竞赛事大围观的微博视频,,,,"英雄联盟,LOL,竞技游戏",0,0,0,2020-05-07 23:53,微博网页,,"http://f.video.weibocdn.com/OkG5AxUclx07D5x8rW08010412002NKv0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1593490367&ssig=t7NhTY0NYZ&KID=unistore,video",
