id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4488689142832591,IBdd0bSSX,2282492937,Blackphoenix_North16,#钟南山李兰娟等10个院士团队齐聚湖北##李兰娟院士医疗队凯旋##李兰娟院士医疗队告别武汉##李兰娟院士返杭丈夫郑树森院士接机#2020.01.23--我们(武汉)封城2020.02.01--您带团队驰援武汉2020.03.31--您带团队凯旋杭州就是差不多我们封城多久您就持续奋战一线多久感谢您也辛苦您2020.03.31封城第69天极致脆弱极致顽强傻傻分不清楚2020.04.01封城第70天🙏🙏🙏,,,,"钟南山李兰娟等10个院士团队齐聚湖北,李兰娟院士医疗队凯旋,李兰娟院士医疗队告别武汉,李兰娟院士返杭丈夫郑树森院士接机",0,0,0,2020-03-31 23:59,iPhone X,,,
4488688715496830,IBdcjn3Yy,1349923355,网红领域,#钟南山说推断中国没有大量无症状感染者##小贴士#钟南山院士近日接受采访表示：中国近期新冠肺炎新确诊病例数不仅没有上升，反而在不断下降，这可以说明：中国还没有大量的“无症状感染者”。,,,,"钟南山说推断中国没有大量无症状感染者,小贴士",2,2,0,2020-03-31 23:57,绝对领域JK超话,,,
4488688660731189,IBdce34dn,3427266082,绝对领域JK,#钟南山说推断中国没有大量无症状感染者##小贴士#钟南山院士近日接受采访表示：中国近期新冠肺炎新确诊病例数不仅没有上升，反而在不断下降，这可以说明：中国还没有大量的“无症状感染者”。,,,,"钟南山说推断中国没有大量无症状感染者,小贴士",2,2,0,2020-03-31 23:57,绝对领域JK超话,,,
4488688660409194,IBdce1IrU,3871261672,Anon长安某,#李兰娟院士返杭丈夫郑树森院士接机#院士夫妻👫神仙眷侣，钟南山院士和夫人的爱情亦是羡煞我等凡夫俗子。磕这种科研界泰斗CP真的是酣畅淋漓，微博热搜应该多一些这样的话题,,,,李兰娟院士返杭丈夫郑树森院士接机,0,0,9,2020-03-31 23:57,HUAWEI P20 Pro,,,
4488688614809019,IBdc9kb2P,3326110944,网红写真,#钟南山说推断中国没有大量无症状感染者##小贴士#钟南山院士近日接受采访表示：中国近期新冠肺炎新确诊病例数不仅没有上升，反而在不断下降，这可以说明：中国还没有大量的“无症状感染者”。,,,,"钟南山说推断中国没有大量无症状感染者,小贴士",2,2,0,2020-03-31 23:57,绝对领域JK超话,,,
4488688262342317,IBdbA9Plj,7376566464,孟德尔的铜豌豆,钟南山应该算是钦点的疫情“吹风人”。20号披露人传人，之后全国防控等级立马上了一个台阶。他说轻症患者居家隔离有风险，后面立马就建方舱医院。前两天他又说无症状感染者的危险性，卫健委这就立马宣布要通报无症状者的情况。很显然这都是有受权的，所以一定要留意钟南山的所有采访报道。,,,,,0,11,2,2020-03-31 23:55,柔光自拍vivo X7,,,
4488687868074826,IBdaWxSD8,5447862976,巴菲比尔戴维,我在看：【视频|钟南山院士分析邓丽君的死因每一条都说到了点上】#跟新浪看热点#L钟南山院士分析邓丽君的死因每一条都说到了点上,,,,跟新浪看热点,0,0,0,2020-03-31 23:54,新浪新闻客户端,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=32911980603,
4488687385218715,IBdaalTCP,1289272551,大秦会,分享网易视频《钟南山对中美疫情最新判断，这话估计特朗普可能不喜欢听！》O网页链接来自@网易新闻客户端#网易新闻#,,,网易新闻客户端,网易新闻,0,0,0,2020-03-31 23:52,网易新闻客户端,['http://ww1.sinaimg.cn/large/4cd8bce7gy1gddjqifzcyj20mi0coaas.jpg'],,
4488687347924484,IBda6xfwg,7105252319,娱乐姣,你是无症状感染者吗在家这样自(无锡#钟南山说推断中国没有大量无症状感染者##张文宏预测10月后或有疫情高峰#L娱乐姣的微博视频,,,,"钟南山说推断中国没有大量无症状感染者,张文宏预测10月后或有疫情高峰",0,0,0,2020-03-31 23:52,微博云剪,,"http://f.video.weibocdn.com/gbENiQlTlx07C8GtFnss01041200npWk0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484564&ssig=TCnghHejrb&KID=unistore,video",
4488687309996648,IBda2FWAg,2039807951,喵喵喵大風浪,美国“病毒猎手”确诊后，钟南山为其在线诊断L喵喵喵大風浪的微博视频,,,,,0,0,0,2020-03-31 23:51,iPhone客户端,,"http://f.video.weibocdn.com/hFeXk4Mclx07C8GtLqtG010412000ING0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484564&ssig=crqBKRLIhO&KID=unistore,video",
4488687091680309,IBd9H737L,7385757224,搞笑绮,德国是一个怎么的国家，为什么经济高度发达#钟南山说推断中国没有大量无症状感染者##张文宏预测10月后或有疫情高峰#L搞笑绮的微博视频,,,,"钟南山说推断中国没有大量无症状感染者,张文宏预测10月后或有疫情高峰",0,0,0,2020-03-31 23:51,微博云剪,,"http://f.video.weibocdn.com/LoRdyduOlx07C8GpWR4c010412019TlG0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484564&ssig=QUotl6om8P&KID=unistore,video",
4488686466564947,IBd8GrxQf,7258782802,九离_50007,我在看：【钟南山：6月份结束疫情是可以期待的】#跟新浪看热点#O钟南山：6月份结束疫情是可以期待的,,,,跟新浪看热点,0,0,0,2020-03-31 23:48,新浪新闻客户端,,,
4488686323985534,IBd8sgIOO,7409982407,用户7409982407,我在看：【钟南山：6月份结束疫情是可以期待的】#跟新浪看热点#O钟南山：6月份结束疫情是可以期待的,,,,跟新浪看热点,0,0,0,2020-03-31 23:47,新浪新闻客户端,,,
4488686190106274,IBd8f0rE6,7387238835,娱乐相,专家解答无症状感染者如何排查#钟南山说推断中国没有大量无症状感染者##张文宏预测10月后或有疫情高峰#L搞笑愿的微博视频,,,,"钟南山说推断中国没有大量无症状感染者,张文宏预测10月后或有疫情高峰",0,0,0,2020-03-31 23:47,微博云剪,,"http://f.video.weibocdn.com/yXK78nUFlx07C8GaJV5C010412006wZ10E010.mp4?label=mp4_ld&template=448x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484564&ssig=fDsrOue1Cd&KID=unistore,video",
4488686182276946,IBd8e9ykW,7390214721,娱乐舒,专家解答无症状感染者如何排查#钟南山说推断中国没有大量无症状感染者##张文宏预测10月后或有疫情高峰#L搞笑尝的微博视频,,,,"钟南山说推断中国没有大量无症状感染者,张文宏预测10月后或有疫情高峰",0,0,0,2020-03-31 23:47,微博云剪,,"http://f.video.weibocdn.com/XH4cPy0Olx07C8GaO6By010412006wZ10E010.mp4?label=mp4_ld&template=448x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484564&ssig=Xp65HwiKPG&KID=unistore,video",
4488326721924357,IB3Ms84C1,6360510820,剧墨人,#中国战疫录#全程回顾抗击新冠疫情，钟南山院士一锤定音可以人传人，武汉封城L剧墨人的微博视频,,,,中国战疫录,0,0,0,2020-03-30 23:59,HUAWEI Mate 10,,"http://f.video.weibocdn.com/80naPOzJlx07C764QjpK01041200mJ7w0E010.mp4?label=mp4_ld&template=632x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484578&ssig=Bulg%2Bctd4V&KID=unistore,video",
