id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4473106515109082,IuFPJlr6y,6586837900,花花世界里的大宝藏,从大年三十开始就被封印在了家里，钟南山的一句话就像一条隐形的封印，封住了家家户户的门。,,,,,0,0,2,2020-02-17 23:59,iPhone客户端,['http://ww1.sinaimg.cn/large/007bLHqYgy1gbzualydnlj3088088dgr.jpg'],,
4473106464261866,IuFPEhSHM,5051077448,快兰斯24小时财经直播,实时播报：【钟南山：明日发布近期中药用于治疗新冠肺炎的最新结果】据南方plus，钟南山说，目前重症救治确实存在一定困难，特别是危重症病人救治难度相较“非典”时期更大。“针对重症救治，目前我们正在寻找更多有效的药物、探索新的方法。”钟南山透露，将在2月18日广东省新闻发布会上发布近期中药用于治疗新冠肺炎的最新结果。,,,,,4,0,12,2020-02-17 23:59,Android客户端,,,
4473106414584342,IuFPzjeB0,6891736686,用户6891736686,#清肺排毒汤疗效#到目前为止我还没看到一个想钟南山这类级别的专家站出来支持中药治疗新型冠状病毒的，都是这些中医圈子的人出来蹦哒，数据干脆抛开中西结合治疗方案，直接就引用其参与过的病例作为数据，试问这些病例都是纯粹中药治疗吗？公鸡打鸣太阳升起，难道太阳升起是和公鸡打鸣有关系？所有药物做双盲对比都要一定时间，现在就急不可待公布中药方子有效科学那吗？没有公开这病是自限性疾病没有几个敢说中药有效，公开是自限性疾病后就天天出来蹦哒。治疗费用全部是国家承担，中药可比医药便宜。,,,,清肺排毒汤疗效,0,0,1,2020-02-17 23:58,小米Play 自带流量,"['http://ww2.sinaimg.cn/large/007wp1xkgy1gbzu2teobdj30bw0i80vk.jpg', 'http://ww2.sinaimg.cn/large/007wp1xkgy1gbzu2tsxhej30u01hc7b9.jpg']",,
4473106099454654,IuFP3DFAq,6788499283,微博财经7X24小时,【钟南山：明日发布近期中药用于治疗新冠肺炎的最新结果】钟南山说，目前重症救治确实存在一定困难，特别是危重症病人救治难度相较“非典”时期更大。“针对重症救治，目前我们正在寻找更多有效的药物、探索新的方法。”钟南山透露，将在2月18日广东省新闻发布会上发布近期中药用于治疗新冠肺炎的最新结果。微博财经7X24小时频道,,,,,0,0,0,2020-02-17 23:57,微博股票,,,
4473106066087517,IuFP0pxDL,1410640647,政经短评,"钟南山院士关于武汉最新疫情分析：""现在遇到最大的问题是，武汉做了很多努力，但还是没有完全制止人传人，看起来还得有所增加。只有武汉的问题解决了，正常人和病人分开，解决了大量疑似病人的问号是什么，才将对全国有积极影响""",,,,,0,0,0,2020-02-17 23:57,iPhone 8,,,
4473105986717120,IuFOSsbqE,6016114645,戏说三农,发布了头条文章：《疫情当前，农村防控力度如何？可以下地干农活吗？钟南山给出答案》O疫情当前，农村防控力度如何？可以下地干农活吗？钟南山给出答案,http://t.cn/A6hSboPt,,,,0,0,0,2020-02-17 23:57,微博 weibo.com,,,
4473105810683095,IuFOB2RHF,3144215384,laqjh492975647,#腾讯新闻#钟南山：2月中下旬全国病例数将达到峰值武汉仍未完全制止人传人O钟南山：2月中下旬全国病例数将达到峰值武汉仍未完全制止人传人来自@腾讯新闻,,,腾讯新闻, 腾讯新闻 ,0,0,0,2020-02-17 23:56,iPhone客户端,['http://ww2.sinaimg.cn/large/bb68eb58ly1gbzu7tcafoj20o60doq46.jpg'],,
4473105784926653,IuFOykFE9,2386831905,港城凡人,钟南山：2月中下旬全国病例数将达到峰值武汉仍未完全制止人传人O钟南山：2月中下旬全国病例数将达到峰值武汉仍未完全制止人传人,,,,,0,0,0,2020-02-17 23:56,腾讯新闻客户端,['http://ww1.sinaimg.cn/large/8e442a21ly1gbzu7lwp9dj20hs0a074y.jpg'],,
4473105764374296,IuFOwilXa,5707192315,Eric游资之路,钟南山谈新冠肺炎疫情峰值：南方地区在2月中下旬，全国在4月份。还是挺保守的,,,,,1,0,14,2020-02-17 23:56,,,,
4473105617107822,IuFOhtP4i,2267204453,东坡三竹,现在理解钟南山说“武汉是一座英雄的城市”的时候眼睛里为什么含着泪了，真的，没有人愿意成为英雄。不要妄谈胜利，宏大的叙事容易掩藏个体的牺牲，坚壁清野的最好结局不过是把病毒赶回深山老林。重拾敬畏，而非新增遗忘，时代面前已然成灰，就不能再像风吹过。,,,,,0,0,0,2020-02-17 23:55,坚果手机 Pro 2S,"['http://ww4.sinaimg.cn/large/8722cb65ly1gbzu6pzjsbj20u01t043p.jpg', 'http://ww3.sinaimg.cn/large/8722cb65ly1gbzu6ppgd8j20ku11278l.jpg', 'http://ww4.sinaimg.cn/large/8722cb65ly1gbzu6pa6wcj20u01o07im.jpg']",,
