id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4506080557136782,J2ybltWBo,7291643323,Super的大西瓜,最近很多人都在骂钟南山院士他疑似代言了牛奶🥛我真的😄了，你们这些人要点脸吧！钟南山他每天累死累活的为我们的疫情安全着想为我们的安全作出贡献🚅你们有什么脸骂他？你们不感谢老钟就算了，还因为一个疑似代言而骂他不务正业，那些网红歌手🎤代言某些lj产品你们怎么不去骂他不务正业，不去写歌词在这里代言产品呢？？？总结出来就是某些人真的不要脸！假如老钟真的代言了一个对你们有好处的产品🥛你们一个个视而不见听而不闻反而骂他不务正业，但是某些网红明星代言了一个对你们没好处且又lj又贵💸的产品，反而你们都认为是好东西的话，hh请你们自己去精神病院接受治疗吧🤫🙃🙃🙃（标注一下：抖音app里的nc真的很多，名字我也不念了怕你们被网暴🤫希望抖音可以好好惩处一下那帮人，还有一个跟抖音app说的话，每次我举报那些骂钟南山院士的你们都没回复的你们难道也觉得老钟无所谓可以随便辱骂吗？……🙃希望官方可以回复我）,,,,,0,0,1,2020-05-18 23:46,iPhone客户端,['http://ww3.sinaimg.cn/large/007XsZwngy1gex0tkil5wj3076070dg0.jpg'],,
4506071098007072,J2xW5xB0k,1575235261,陇南政协,【专访钟南山：#疫情不会超过人类的控制能力#】钟南山近日接受生命时报专访时表示，“在传染指数上升的同时，人类对冠状病毒的防治能力也在升高，疫情不会超过人类的控制能力之外”。目前，中国疫情得到大范围控制，生活逐步回归正常，一些人放松了警惕。对此，钟南山提醒：“大部分中国人仍然是新冠病毒的易感人群，没有获得足够的免疫。近几周中国包括武汉和东北在内的一些地区，出现了局部的聚集性疫情，中国仍然面临新冠第二波疫情的挑战。”他对美国的感染和死亡病例数表示感到震惊，西方政府在疫情出现后没有严肃对待。钟南山强调，所有政府都应该真实地披露疫情数据。“一些国家把新冠病毒和流感病毒相提并论，这是错误的。”针对如何增强机体免疫，钟南山建议，保持健康的生活方式，是增强免疫力的有效方法，他称自己一直积极参加体育运动，并希望大家也都注意锻炼身体。（生命时报记者王帅）,,,,疫情不会超过人类的控制能力,0,0,0,2020-05-18 23:08,360安全浏览器,,,
4506070771167442,J2xVz4THI,1719745047,江门电台,【厉害了！大连#两大学生用落樱拼出钟南山肖像#：致敬伟大医护人员】5月17日，辽宁大连。大连一夜大风过后，地上落满了樱花瓣。两个大学生照着手机上找到的图片，用樱花拼出钟南山的肖像画。不少路人拍照留念，有大人带着孩子来帮忙捡花瓣。两位同学表示，钟南山是自己的偶像和榜样，这个作品没有考虑太多东西，就希望能致敬医护人员，为中国加油。#谢谢你，医生#@青蕉视频L青蕉视频的微博视频#晚安，江门#,,,青蕉视频,"两大学生用落樱拼出钟南山肖像,谢谢你，医生,晚安，江门",0,0,1,2020-05-18 23:07,iPhone客户端,,,
4506067591706939,J2xQr7a3h,2992486111,大连城事聚光,【#大连#俩大学生拼出“樱花版”钟南山头像创作初衷：用唯美樱花致敬“无双国士”】缤纷的落樱，遍地粉红，一阵风吹过，发出清幽的淡香；遥望，又顿觉庄重、慈祥，两个年轻人用花瓣，拼出了钟南山院士的头像。5月17日上午，在金石滩植物园，“樱花版钟南山”引发路人驻足、拍摄，现场好评如潮。两名年轻人是大连艺术学院的在校大学生，创作初衷是想用唯美的樱花向“无双国士”致敬。L39度视频的秒拍视频,,,,大连,0,1,1,2020-05-18 22:54,微博 weibo.com,,"http://miaopai.video.weibocdn.com/ghSvU8sslx07DmtmMmbm010412005z8p0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593487806&ssig=kgTvvQm%2Fal&KID=unistore,video",
4506052500844356,J2xs63xEE,2829508432,飛階,如果说每个世纪都有一次大萧条。那么21世纪最大的萧条或许就在2020年。今年是未来10年不堪回首的，或者是未来10年心心念念的。下九路Baleno班尼路基地倒闭是整条步行街人气日渐消瘦的缩影；富力海珠城金逸影城今日还未复工营业印证了新冠疫情对经济活动的打击是深远持久的。大病初愈的中国正在调理身体，假如再来第二波疫情那将是毁灭性的灾难。#钟南山称需警惕第二波疫情暴发##全球经济危机#,,,,"钟南山称需警惕第二波疫情暴发,全球经济危机",1,2,0,2020-05-18 21:54,vivo Z5全面实力派,"['http://ww2.sinaimg.cn/large/a8a6df50gy1gewxoag4t9j21400u0thk.jpg', 'http://ww3.sinaimg.cn/large/a8a6df50gy1gewxobq96uj21400u0k3q.jpg']",,
4506052483823939,J2xs4g2Mr,6186720616,内蒙古旅游报,【辽宁#大学生用落樱拼出钟南山肖像#：群众帮忙捡花瓣收集，致敬医护】5月17日，辽宁大连。两名大学生收集落樱，照着手机上的图片，用花瓣拼出钟南山的肖像画。此前一晚，因为大连挂起大风，大连的樱花掉落一地。得知两位小伙的目的后，群众纷纷帮他们捡起落樱。一名学生称钟南山是自己的偶像和榜样，希望通过这个作品致敬医护，为中国加油。O大学生用落樱拼出钟南山肖像：致敬医护@澎湃视频L七环视频的微博视频,,,澎湃视频,大学生用落樱拼出钟南山肖像,1,0,1,2020-05-18 21:54,iPhone客户端,,"http://f.video.weibocdn.com/001l53iTgx07Dms91Zte01041200dgPq0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1593487806&ssig=sVzWSioqyE&KID=unistore,video",
4506051355940375,J2xqfoVmv,5226421019,成加权789,1111111钟南山又被骂上热搜！疫情刚好转，有些人就开始批斗抗疫英雄了全国有良知的企业，以后都请钟南山一样的科学家们做广告代言！气死猪狗们！现在猪狗都吃粮食了！！！！你们离不开屎臭味吗？？不是钟南山，还不知耽误多少天，一定中国疫情是现在的美国，有过而无不及也！！只许一文不值的明星做广告代言，还是虚假假言！！骗得你狗屁不放一个！！这时行规吗？？国法哪条规定的？？就不许居功至伟对人类做出不可磨灭贡献的科学家做广告，代言！！就让他们的贡献永远是奉献，得不到丰厚回报吗？？？猪狗们！！你们是吃屎的货吗？？改不了了吗？？现在猪狗都吃粮食了！！！！你们离不开屎臭味吗？？全国有良知的企业，以后都请钟南山一样的科学家们做广告代言！气死吃屎的猪狗们！,,,,,0,0,0,2020-05-18 21:50,微博 weibo.com,,,
4506050537408184,J2xoVv5cQ,5883364932,宸子然,渭南师范学院#抗击疫情希望同行#今天，我收看了全国大学生同上一堂疫情防控思政大课令我受益匪浅，刻骨铭心。让我对新型冠状病毒有了更进一步的了解和认识，以及学习并掌握了预防措施。相信这次加长版的寒假给大家带来了别样的感受，很多人从未像现在这样真切地感受到我们不仅仅是以个人的身份生活，而是与所处的时代同呼吸，共命运。　　透过新闻，我们看到一张张布满勒痕的脸、一把把为避免交叉感染而剪了的发辫，一双双被消毒液侵蚀开裂的手、一个个蜷缩在地上暂得休息的身影，年轻医护人员他们心无旁骛，凝视自己的战场;我们看到84岁的钟南山临危受命逆行而上，武汉金银潭医院院长张定宇身患渐冻症仍冲在前线与时间赛跑挽救生命，70多岁的李兰娟院士每天只睡3小时，带领团队为研制特效药品而耿耿不寐;我们看到坚守阵地做着深入报道，不断披露疫情最新进展的新闻人;我们看到了为建医院、为制口罩日夜赶工的工人;那些奋笔写下“请战书”的医护工作者;开间武汉或审核三亿元的施工人员;用爱搭建桥梁，日夜驰援运送物资的驾驶员……他们用行动向我们诠释了什么是大爱无疆。一个个白衣天使坚守岗位，用血肉之躯尽一份绵薄之力，用小小的身躯与疫情赛跑。无数的“追光者”们在国家和人民最需要的时候，做出无怨无悔的选择。他们把对人民的爱，对祖国的爱放在心底，用一个个鲜红而又坚定的手印，表达着火热的担当与承诺;他们用最美的身影，诠释了生命的意义!这些逆行的背影，他们挺身而出不是为了当什么英雄。他们扶危渡厄，是守土尽责。目前，这场疫情防控阻击战形势仍然严峻，此刻，我们呆得有点烦闷焦躁的家，是很多前线人员想回而不能回的家。在这个牵动着所有国人心的春天里，我们每一个人都无法置身事外。我们，也应尽自己的绵薄之力，不为医生，社会增添负担，按照这堂课中所说的，不随便出门，戴口罩，不信谣，不传谣，勤洗手，讲卫生，为这个社会，贡献出自己的力量!同时，这场疫情，也是对我们每个人的教育。唯有正视这样的经历，在困境中汲取教训成长，才不辜负这样一场代价沉痛的历练。【财管191温粉粉】@渭南师范学院西岳校区,,,渭南师范学院西岳校区,抗击疫情 希望同行,0,0,9,2020-05-18 21:47,OPPO R11 Plus,,,
4506050117572006,J2xofvLP8,1774057271,生命时报,【专访钟南山：#疫情不会超过人类的控制能力#】钟南山近日接受生命时报专访时表示，“在传染指数上升的同时，人类对冠状病毒的防治能力也在升高，疫情不会超过人类的控制能力之外”。目前，中国疫情得到大范围控制，生活逐步回归正常，一些人放松了警惕。对此，钟南山提醒：“大部分中国人仍然是新冠病毒的易感人群，没有获得足够的免疫。近几周中国包括武汉和东北在内的一些地区，出现了局部的聚集性疫情，中国仍然面临新冠第二波疫情的挑战。”他对美国的感染和死亡病例数表示感到震惊，西方政府在疫情出现后没有严肃对待。钟南山强调，所有政府都应该真实地披露疫情数据。“一些国家把新冠病毒和流感病毒相提并论，这是错误的。”针对如何增强机体免疫，钟南山建议，保持健康的生活方式，是增强免疫力的有效方法，他称自己一直积极参加体育运动，并希望大家也都注意锻炼身体。（生命时报特约记者王帅）,,,,疫情不会超过人类的控制能力,26,2,53,2020-05-18 21:45,微博 weibo.com,['http://ww3.sinaimg.cn/large/69bdf737ly1gewxr1ywx2j20u00m446l.jpg'],,
4506047819098676,J2xkxCaYQ,1698784044,三秦都市报,【厉害了！大连#两大学生用落樱拼出钟南山肖像#：致敬伟大医护人员】5月17日，辽宁大连。一夜大风过后，地上落满了樱花瓣。两个大学生参考手机上找到的图片，用樱花拼出钟南山的肖像画。不少路人拍照留念，还有大人带着孩子来帮忙捡花瓣。致敬医护人员，为中国加油。#谢谢你，医生##加油2020年#via青蕉视频L青蕉视频的微博视频,,,,"两大学生用落樱拼出钟南山肖像,谢谢你，医生,加油2020年",1,1,4,2020-05-18 21:36,HUAWEI P30,,,
