id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4491950818358937,ICA3Lz4xz,2841671163,滨海时报,【国士无双！#纪录片钟南山完整版#】出生于全面抗战之前，奔波于抗疫一线，钟老的人生始终与家国命运相连。这个纪录片无法涵盖钟老的全部，但仍带给我们足够震撼与启发。是医者也是学者，是院士也是国士，心中永远澎湃着爱国之情，所有努力都为捍卫生命，这就是钟老可敬可爱之处。L广东卫视的微博视频,,,,纪录片钟南山完整版,1,0,0,2020-04-09 23:59,360安全浏览器,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491950780344460,ICA3I1rBO,7286808365,小然同学前来报道,#恋词云打卡#第十一天7000词第七单元。完小林子每日长难句。第十天完5500词二刷至第十五单元@朱伟老师貌似是广州电视台出了钟南山的纪录片，看得人热情澎湃，又有了学习动力！！！,,,朱伟老师,恋词云打卡,0,0,0,2020-04-09 23:59,Redmi K20 Pro 真旗舰,"['http://ww2.sinaimg.cn/large/007X8HJbly1gdnyirz11dj30qy04yq39.jpg', 'http://ww4.sinaimg.cn/large/007X8HJbly1gdnyiw9cwtj30qy0k7ju8.jpg', 'http://ww1.sinaimg.cn/large/007X8HJbly1gdnyj0904cj30qy0k7goc.jpg', 'http://ww3.sinaimg.cn/large/007X8HJbly1gdnyj556f5j30qy0k7ju2.jpg']",,
4491950386218078,ICA34q5BA,6421364037,三诺葡萄糖补水液,致敬辛苦了！#三诺小报#钟南山【国士无双！#纪录片钟南山完整版#】“我想来想去，只不过还是个医生。”@广东卫视纪录片《钟南山》，珍贵影像揭秘，告诉你一位完整、真实的钟南山。戳视频↓L广东卫视的微博视频,,,广东卫视,"三诺小报,纪录片钟南山完整版",0,0,0,2020-04-09 23:58,华为畅享10 Plus,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491950084282289,ICA2AhY1b,1747766363,语文阅刊,【国士无双！#纪录片钟南山完整版#】“我想来想去，只不过还是个医生。”@广东卫视纪录片《钟南山》，珍贵影像揭秘，告诉你一位完整、真实的钟南山。戳视频↓L广东卫视的微博视频,,,广东卫视,纪录片钟南山完整版,3,0,6,2020-04-09 23:56,,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491949916175564,ICA2jpUxS,1821964970,馥馥小喵,#钟南山说希望国庆80周年再给大家讲讲话#您一定可以的，好感动！！！,,,,钟南山说希望国庆80周年再给大家讲讲话,0,0,0,2020-04-09 23:56,OPPO Reno3 Pro 5G,,,
4491949740105708,ICA220ruY,3176679570,宁夏微光义工志愿者服务总队,【国士无双！#纪录片钟南山完整版#】“我想来想去，只不过还是个医生。”@广东卫视 纪录片《钟南山》，珍贵影像揭秘，告诉你一位完整、真实的钟南山。戳视频↓L广东卫视的微博视频,,,广东卫视,纪录片钟南山完整版,0,0,0,2020-04-09 23:55,vivo X27,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491949043817679,ICA0Ug19t,5914254678,博微200857177,【#纪录片钟南山#钟南山：我才不是“耄耋老人”】#钟南山不承认自己是耄耋老人#在钟南山83岁生日会上，有人送他一副大字，他幽默回应：“这两个字，我不太承认。耄耋，我还没老成这样吧。“钟南山说希望国庆80周年再给大家讲讲话。珍贵影像揭秘，@广东卫视纪录片《钟南山》完整版，告诉你一位完整、真实的钟南山。L广东卫视的微博视频,,,广东卫视,"纪录片钟南山,钟南山不承认自己是耄耋老人",0,0,0,2020-04-09 23:52,荣耀手机 勇敢做自己,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491948905674514,ICA0GnOcq,1500626273,姚宗君先生,【国士无双！#纪录片钟南山完整版#】“我想来想去，只不过还是个医生。”@广东卫视纪录片《钟南山》，珍贵影像揭秘，告诉你一位完整、真实的钟南山。戳视频↓L广东卫视的微博视频,,上海,广东卫视,纪录片钟南山完整版,0,2,4,2020-04-09 23:52,HUAWEI Mate 20,,"http://f.video.weibocdn.com/003nVzpCgx07CmAqE5Pq01041204xyFK0E020.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1593484814&ssig=afXxU%2BTpLB&KID=unistore,video",
4491948616442780,ICA0dr23O,7314011114,娱乐宁,《黄秋生骂钟南山，小编将其扒皮后惨遭围攻，背后都是什么操作？》O黄秋生骂钟南山，小编将其扒皮后惨遭围攻，背后都是什么操作？,,,,,0,0,0,2020-04-09 23:51,皮皮时光机,,,
4491948590871698,ICA0b3ELE,2488385663,现实人类,六十六、&nbsp;每一个不懂愛旳人，都会遇到一个懂爱的人。然后经历一场撕心裂肺旳爱情，然后分开。后来不懂爱的人慢慢懂了。懂爱旳人，却不敢再爱了。#钟南山院士公布研究最新成果#,,,,钟南山院士公布研究最新成果,0,1,0,2020-04-09 23:51,微博 weibo.com,,,
