id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4498836213252415,IFtbfdE6j,1793607047,开心BUBBLEX_,国外网友恶搞，特朗普消毒液治新冠学说>>O网页链接国外网友恶搞，特朗普消毒液治新冠学说,,,,,0,0,0,2020-04-29 00:00,微视APP,['http://ww1.sinaimg.cn/large/6ae84587ly1ge9xb9a05yj20u01gin10.jpg'],,
4498836166364625,IFtbaqHJf,1044050113,康灵毅,特朗普总统周一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。这是特朗普第一次公开做出这样的表态！这场疫情是一面照妖镜，照出了美国治理上一些惊人的缺陷，也照出了美国顶级政治人物们毫无担当、私念当头的真实面目。唯一目标是主导大选前美国舆论场的话语焦点，最大化地煽动对中国的愤怒，确保美国政府自身责任的话题被最大化稀释，其他都不重要。在这样的政治氛围下，美国目前确诊人数即将突破100万，作为全球医学实力最强国家却成了疫情头号“暴发户”实在是个悲剧。,,,,,0,0,0,2020-04-28 23:59,iPhone客户端,"['http://ww4.sinaimg.cn/large/3e3af0c1ly1ge9xb0cp5jj20hs0b4wl4.jpg', 'http://ww2.sinaimg.cn/large/3e3af0c1ly1ge9xb0ltjqj20hs0bjnat.jpg', 'http://ww4.sinaimg.cn/large/3e3af0c1ly1ge9xb190cij20hs0a048y.jpg', 'http://ww1.sinaimg.cn/large/3e3af0c1ly1ge9xb1fbb2j20v81jhqbu.jpg', 'http://ww4.sinaimg.cn/large/3e3af0c1ly1ge9xb28ngjj20v91jewma.jpg', 'http://ww3.sinaimg.cn/large/3e3af0c1ly1ge9xb0y17pj20hs0hrk6t.jpg', 'http://ww2.sinaimg.cn/large/3e3af0c1ly1ge9xb075s7j20hs0e2n7i.jpg', 'http://ww2.sinaimg.cn/large/3e3af0c1ly1ge9xb2o416j20hs0e1wpj.jpg', 'http://ww3.sinaimg.cn/large/3e3af0c1ly1ge9xb3d7q5j20hs0cttms.jpg']",,
4498835872850268,IFtaHbXu4,5645756008,价值投资日志,【简报会上特朗普平均花2小时攻击媒体和民主党人，45分钟吹嘘自己】根据两份报告的分析，在新冠新闻发布会上，特朗普总统通常会花约两小时攻击媒体和民主党人。根据对新闻发布会的研究，特朗普平均用45分钟来赞扬自己对危机的应对，而只给新冠大流行的受害者留下4.5分钟。《华盛顿邮报》和《纽约时报》都发现，每日新闻简报会由总统主导，留给医学专家的时间少得可怜。即便是负责白宫新冠特别工作组的副总统迈克·彭斯，也只有不到特朗普一半的时间，而他也把自己的大约60%时间用于漫无边际的谩骂。《华盛顿邮报》分析了自3月16日以来举行的35次简报会，发现总统在所有这些会议上发言超过28小时。4月6日至4月24日期间，特朗普发表了13个小时的讲话，是负责监督政府应对病毒工作的黛博拉·比尔克斯博士6个小时讲话时间的两倍多。美国联邦政府首席传染病专家安东尼·福奇博士总共只讲了两个多小时，而迈克·彭斯讲了大约五个半小时。特朗普出现在每日简报会上的举动引发了越来越多的争议，最终他要求医学专家研究消毒剂和紫外线是否可以作为治疗手段。周末，特朗普在推特上威胁要取消新闻发布会，并在推特上发布了一系列攻击媒体的愤怒推文，这让新闻发布会的未来蒙上了一层阴影。此前，总统在一场新闻发布会上与一名CNN记者发生了冲突，在仅仅22分钟后，总统就愤然离席。周一，美国的冠状病毒病例超过了100万，死亡人数超过了5.6万人。《华盛顿邮报》对简报会的分析还发现，特朗普在超过三分之一的时间里抢答了本该由别人回答的问题，包括已经被指定官员回答过的问题。当特朗普自己发言时，大约有30分钟被用来攻击民主党人。斥责媒体的时间持续了大约25分钟，提到州长的时间超过了22分钟。他花了大约45分钟的时间来赞扬自己和自己领导的政府，其中有三次播放了支持总统的视频。报道称，他只花了四分半钟的时间向冠状病毒受害者表示哀悼。特朗普的14%言论提到了美国的冠状病毒检测能力，12%的时候提到了美国的呼吸机供应能力。《纽约时报》周日发布了一份报告，回顾了自3月9日以来特朗普在新冠大流行期间说过的逾26万字。研究也发现，特朗普自吹自擂了600次，而表示同情或呼吁国家团结则有160次。《纽约时报》还称，特朗普至少使用了130个虚假或夸大的例子，总计约47分钟。尽管没有确凿的医学证据支持使用羟基氯喹来治疗新冠，但他的言论中至少有8次提到了将羟基氯喹作为一种有前景的冠状病毒治疗药物。纽约州卫生部上周进行的一项试验表明，服用羟基氯喹的患者的存活率并不比未服用该药的患者高。美国食品和药物管理局也警告说，除非是在医院或临床试验中，其他病毒患者不该使用这种抗疟疾药物。#美国新冠病毒感染病例超过96万##美国首例新冠死亡病例前移3周##美国总统特朗普#,,,,"美国新冠病毒感染病例超过96万,美国首例新冠死亡病例前移3周,美国总统特朗普",25,20,80,2020-04-28 23:58,iPhone X,['http://ww1.sinaimg.cn/large/006a512Mgy1ge9x9wffomj30qo107n2e.jpg'],,
4498835810431222,IFtaB1Obc,6982105380,用户6982105380,我在看：【确诊突破100万大关！特朗普迎来真正的对手，重要人物表明态度】#跟新浪看热点#O确诊突破100万大关！特朗普迎来真正的对手，重要人物表明态度,,,,跟新浪看热点,0,0,0,2020-04-28 23:58,新浪新闻客户端,,,
4498835483069636,IFta4cSyg,5051077448,快兰斯24小时财经直播,实时播报：特朗普表示，将尽快对国际航班的病毒检测做出决定。,,,,,0,0,3,2020-04-28 23:57,微博 weibo.com,,,
4498835323939037,IFt9OgwIR,2257006822,队长的干果儿,美国破百万纪念忘特朗普好自为之,,,,,0,0,0,2020-04-28 23:56,一条锦鲤,['http://ww3.sinaimg.cn/large/868730e6ly1ge9x78jgjij20ku112jwb.jpg'],,
4498835307237253,IFt9MumJT,1721484135,主编赵旭东,【盘点#与特朗普同台者表情合辑#：震惊、无奈、假笑、憋笑】特朗普在公共场合经常说出一些出人意料的话来，而当时特朗普身边人听到这些话的反应或惊讶、或无奈、或憋笑。也许关注特朗普身边的人，远比观察他本人更有意思。@时差视频L时差视频的微博视频,,,时差视频,与特朗普同台者表情合辑,1,2,3,2020-04-28 23:56,三星GALAXY A,,"http://f.video.weibocdn.com/xqTI3nkzlx07CNZjXQNi01041200iU2a0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1592305428&ssig=JLeV3%2FS78Z&KID=unistore,video",
4498835172829550,IFt9zbS5U,5160402406,伟爱雪1,#腾讯新闻#纽约州长果然是个狠角色，霸气叫板特朗普政府，主动证明中国清白O纽约州长果然是个狠角色，霸气叫板特朗普政府，主动证明中国清白来自@腾讯新闻,,,腾讯新闻,腾讯新闻,0,0,0,2020-04-28 23:55,腾讯新闻客户端,['http://ww3.sinaimg.cn/large/005DewoSly1ge9x706i8pj30rs0kxq4v.jpg'],,
4498835100968785,IFt9s441z,5525661902,武汉蛮有味,#武汉日记#——第九十六天之四十六【美国确诊人数近百万之际，特朗普再度甩锅中国】当地时间27号的发布会中，特朗普称，他认为中国“本可以阻止”新冠病毒，称美国将会“严肃调查”这场病毒危机。“我们在进行非常严肃的调查……我们对中国很不满意。”特朗普说，“我们相信它（病毒）本可以被遏制在源头。它本可以被迅速阻止，而不会传播到世界各地。”O特朗普：美国情况令人鼓舞，中国本可以阻止病毒传播O网页链接推文#最好的我们#武汉武汉蛮有味识食物者姬图米#大武汉批评##湖北蛮有味#@人民日报@南方周末@新华网@武汉发布@长江日报@张欧亚@超话社区@财新网@楚天都市报@大武汉美食排行榜@号外武汉,,武汉,"人民日报,南方周末,新华网,武汉发布,长江日报,张欧亚,超话社区,财新网,楚天都市报,大武汉美食排行榜,号外武汉","武汉日记,最好的我们,大武汉批评,湖北蛮有味",0,0,1,2020-04-28 23:55,,,,
4498835097640627,IFt9rw3FV,7432290305,云隙之光从上到下,【特朗普帮派已注射疫苗？（视频所示）】这是新的阴谋论？还是更深的谜团？还是待解的真相？在一切尘埃落定之前，美国霸权政客的行为值得一切质疑和审问！别忘了，当年有人揭露美国监听全世界，被美国政客污蔑为“阴谋论”，而事实是确实利用瑞士某公司监听全球。大量证据都指向美国是新冠源头，我们期盼真相大白，我们也不放过任何可能的线索。O网页链接,,,,,0,0,0,2020-04-28 23:55,荣耀V20 4800万3D相机,,,
