id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4512148900806223,J56303nJB,2803301701,人民日报,【#纽约抗疫人员为抗议队伍加油#，示威者们鼓掌回应】当地时间3日，在纽约的几场较为和平的抗议示威活动中，有一幕引发网友热议，身穿防护服的抗疫医护人员在医院外为游行队伍鼓掌表达支持，示威者们则热烈回应。网友评论称，“#被特朗普否定的两个群体互相加油#。”L海客新闻的秒拍视频,,,,"纽约抗疫人员为抗议队伍加油,被特朗普否定的两个群体互相加油",588,639,10185,2020-06-04 17:39,微博 weibo.com,,"http://miaopai.video.weibocdn.com/TjwVFjbwlx07DNTjM7RK01041200dyKE0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=LmDCUaQRDn&KID=unistore,video",
4512455940543497,J5e2e2ho5,3327385670,伊州检察,【#纽约抗疫人员为抗议队伍加油#，示威者们鼓掌回应】当地时间3日，在纽约的几场较为和平的抗议示威活动中，有一幕引发网友热议，身穿防护服的抗疫医护人员在医院外为游行队伍鼓掌表达支持，示威者们则热烈回应。网友评论称，“#被特朗普否定的两个群体互相加油#。”,,,,"纽约抗疫人员为抗议队伍加油,被特朗普否定的两个群体互相加油",0,1,1,2020-06-05 13:59,HUAWEI Mate 30,,,4512148900806223
4512051924213311,J53wAhG4D,1593711535,梁溪说事,美国暴乱之际特朗普的老对手们也没闲着！L梁溪说事的微博视频,,,,,66,81,585,2020-06-04 11:14,微博会员生日快乐,,"http://f.video.weibocdn.com/8d2BkDP1lx07DNwmj35S01041200qDm00E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519606&ssig=0Yce0Rf1yN&KID=unistore,video",
4512455936335292,J5e2dqA68,7309324144,撑港,全力支持,,,,,0,0,1,2020-06-05 13:59,HUAWEI P20 Pro,,,4512051924213311
4512455936331643,J5e2dqz9h,7380875200,春福吓头,《各国态度已经表明，德媒：中方有权向美方索赔，白宫这下麻烦大了》自从特朗普先生上台之后，中美之间的关系每况愈下，尤其是新冠肺炎疫情爆发之后，美国不遗余力的诋毁中国，损害中国名誉权，实在不是大国所为。O网页链接,,,,,0,0,0,2020-06-05 13:59,iPhone客户端,['http://ww1.sinaimg.cn/large/0083voOcly1gfhdimsbe0j308o05s0su.jpg'],,
4511836642728509,J4XVmbrOd,2488424752,有码哥,美国小朋友眼里的特朗普，童言无忌呀L有码哥的微博视频,,,,,200,107,1279,2020-06-03 20:59,微博 weibo.com,,"http://f.video.weibocdn.com/001I0Bbhgx07DMvzG48L01041200gHbK0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=Yb6aKVmeaT&KID=unistore,video",
4512455906407458,J5e2aqSS6,5035853702,TA_TASOO,第一个小盆友和第一个模仿的小朋友真的优秀👏👏//@这视频有毒://@江湖不見XD://@表情包小手册:,,,"这视频有毒,江湖不見XD,表情包小手册",,0,0,0,2020-06-05 13:59,Samsung Galaxy S8,,,4511836642728509
4512440874983124,J5dDVkUkY,6414542889,历史故事,#历史影像#【纪录片《从奥巴马到特朗普》】本片为你通盘讲述2008年到2020年间美国两党政斗，如何走到今天这个地步！时间较长，建议先码后看！L军旅的微博视频,,,,历史影像,96,8,55,2020-06-05 13:00,微博 weibo.com,,"http://f.video.weibocdn.com/aWhGr9xllx07CybvdBpm0104120t6jnu0E0b0.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=48%2BJmUDoeb&KID=unistore,video",
4512455894564801,J5e29j9vP,7413473244,飘呀飘天涯,了解一下,,,,,0,1,0,2020-06-05 13:59,红米Redmi,,,4512440874983124
4512455893606991,J5e29f8lh,5128161220,全球资讯点,#美国暴乱#【美国暴乱特朗普：警察竟被追着到处跑！几百万年出不了这荒唐事】近日，非裔男子乔治·弗洛伊德的死引发美国暴乱，当地时间6月3日，特朗普接受在白宫接受了白宫前新闻秘书肖恩·斯派塞的专访称警察竟被追着到处跑！几百万年出不了这荒唐事。,,,,美国暴乱,0,0,0,2020-06-05 13:59,搜狗高速浏览器,['http://ww1.sinaimg.cn/large/005B3eZKgy1gfhdigbvomj31hd0t7e81.jpg'],,
4511099094857002,J4EJLknwK,6060307497,观视频工作室,【特朗普最大“贡献”，就是亲手摧毁了中国人对美国的幻想】#一勺思想#乔良将军分析，美国现今遇到的所有问题，不管是贸易逆差、工作岗位流失、技术竞争能力下降，这些每一个的根源都在他们自己身上，而中国完全成为了美国政客用来甩锅的对象。但是再怎么甩锅给中国，都无法改变美国真正的问题，反而能达成另一个“意外”效果：让越来越多中国人民不再存有幻想。特朗普越是疯狂地无理取闹，中国人民就反而越清醒，所以从这个层面上来说，特朗普真的是一个“好”总统！L观视频工作室的微博视频,,,,一勺思想,818,330,2669,2020-06-01 20:08,微博 weibo.com,,"http://f.video.weibocdn.com/003mYfy7gx07DJklq56g01041201NzIB0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=ZIPGRtcHEh&KID=unistore,video",
4512455864360771,J5e26iir1,2503264171,妨碍你改变的就是你,转发微博,,,,,0,0,0,2020-06-05 13:59,荣耀8青春版 颜值担当,,,4511099094857002
4512103039239805,J54R1CLH7,2673559173,南昌县发布,【#美国警察暴力执法泛滥原因#：警察工会的“保护”】6月8日，美国跪压黑人致死的警察肖万即将出庭受审。据CNN报道，肖万此前有18项投诉，只有两项得到回应。“惩处从轻”并非特例：明尼阿波利斯2012年起共收到2600多起针对警察的投诉，仅有12起导致警员受到纪律处分。一桩桩案件背后，有一个无法忽视的身影：警察工会。L世面的秒拍视频,,,,美国警察暴力执法泛滥原因,62,68,86,2020-06-04 14:37,荣耀9 美得有声有色,,"http://miaopai.video.weibocdn.com/4TPOUNpJlx07DNq0w4tG01041200oD9s0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=ExLntMgDpM&KID=unistore,video",
4512455864151251,J5e26hpVF,3987330191,遥遥无期hui,转发微博,,,,,0,0,0,2020-06-05 13:59,nova5Pro人像超级夜景,,,4512103039239805
4512338239502916,J5aYnDS8Q,1893801487,微天下,【超10万册书被烧！#全美历史最久科幻独立书店被毁#】5月30日，明尼阿波利斯的雨果叔叔科幻书店，在骚乱中遭到焚毁，超过十万本书被烧毁，其中包括许多签名版科幻图书和珍本书，损失超过一百万美元。雨果叔叔书店成立于1974年3月2日，是全美历史最久的科幻独立书店。L梨视频文化的秒拍视频,,,,全美历史最久科幻独立书店被毁,5407,1016,12325,2020-06-05 06:12,微博 weibo.com,,"http://miaopai.video.weibocdn.com/mB3rGGDPlx07DMjUi0Fa01041200b2jl0E013.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519606&ssig=DMmB0zSCps&KID=unistore,video",
4512455860867850,J5e263DLA,1728102585,Air张婷婷,是的//@看到我叫我去刷题:奇怪了，冤有头债有主，你们都去找特朗普呀。毁个书店算啥本事？,,,看到我叫我去刷题,,0,0,0,2020-06-05 13:59,HUAWEI Mate30 Pro 5G,,,4512338239502916
4512455855743688,J5e25o6c8,1105244233,哈飞工大,4日，德国总理默克尔接受德国媒体采访时表示，对弗洛伊德的谋杀是恐怖的。默克尔指出，美国当前两极分化严重，她希望各方达成共识。主持人随即说到，但是特朗普并没有这么做。默克尔回答说，她与特朗普的对话内容“不能在公开场合说”，并再次强调“美国两极分化严重”。,,北京·硅谷亮城,,,0,0,0,2020-06-05 13:59,荣耀NOTE8  2K大屏,,,
4511977417102574,J51AptNHE,3547797954,Amor蓝色妖姬,焦点坊谈同样是下雨天里:#特朗普#vs普京#美国数以千计抗议者趴大桥致哀##美国暴乱#hLAmor蓝色妖姬的微博视频,,,,"美国数以千计抗议者趴大桥致哀,美国暴乱",35,44,1316,2020-06-04 06:18,焦点坊谈超话,,"http://f.video.weibocdn.com/NsAtv9ywlx07DNc1PdGw010412000Ms60E010.mp4?label=mp4_ld&template=360x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=ios3Cx0UhT&KID=unistore,video",
4512455843596878,J5e24f5Ia,7454504800,斑马200808,转发微博,,,,,0,0,0,2020-06-05 13:59,小米6 拍人更美,,,4511977417102574
4512455802743931,J5e20bvOX,6346982004,江河万里天,"我分享了【特朗普又骂出了一个新高度！】,快来看吧！|O特朗普又骂出了一个新高度！👏",,,,,0,0,0,2020-06-05 13:59,小米浏览器,['http://ww3.sinaimg.cn/large/006VxhXuly1gfhdhr7xlyj30f00po0ur.jpg'],,
4512455742680622,J5e1UbflQ,6193839946,爱吃瓜的球球姐姐,转发微博,,,,,0,0,0,2020-06-05 13:59,vivo X20全面屏手机,,,4512440874983124
4512109428312832,J551kySxW,6414541478,趣点综艺,#奥巴马就美国暴乱发声#特朗普弱爆了，看奥巴马时任总统时白宫是怎么玩感恩节的L正如斯春的优酷视频,,,,奥巴马就美国暴乱发声,190,58,1019,2020-06-04 15:03,YOUKU精选视频,,http://type=feedvideo&objectid=1007002:4512109426573320&keys=4512109428736278&cover_img=https://vthumb.ykimg.com/054101015EC732A45A50FC968A21C596&card_height=231&card_width=412&play_count=223147&short_url=http://t.cn/A62Ysbkk&encode_mode=&bitrate=277&biz_id=231193&current_mid=0&key=tblog_card&title=正如斯春的优酷视频&full_url=https://v.youku.com/v_show/id_XNDY4MTg3MzcyMA==.html&object_id=1007002:4512109426573320&video_src=https://api.youku.com/videos/player/file?data=WcEl5oEuWdTRNVGczTXpjeU1BPT18MHwwfDEwMDUwfDAO0O0O,
4512455739034916,J5e1TBUos,1661235292,琉璃未醉夜未央,轉發微博,,,,,0,0,0,2020-06-05 13:59,iPhone X,,,4512109428312832
4511474536866420,J4OvjsOgI,7437921905,环视界Global_Vision,郭杰瑞采访：特朗普完全没有领导力#美国L环视界Global_Vision的微博视频,,,,,88,90,1195,2020-06-02 21:00,微博 weibo.com,,"http://f.video.weibocdn.com/l8lltqsNlx07DKYNN4zC010412007fhW0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1591519647&ssig=VlXufespqT&KID=unistore,video",
4512455734931112,J5e1TkGO4,6267781309,wiki就是我,转发微博,,,,,0,0,0,2020-06-05 13:59,iPhone 7 Plus,,,4511474536866420
4512455726512197,J5e1Srk7r,1289885454,盘古龙天金元宝,转发微博,,,,,0,0,0,2020-06-05 13:59,微博搜索,,,4512440874983124
4512455722206248,J5e1S9fWE,1775638471,21世纪英文报,#特朗普曾被短暂带到白宫地下掩体#前几天，据美媒报道，美国总统特朗普曾于上周五晚被短暂地带进了白宫的地堡，而当时白宫外正有大批抗议者聚集。不过美国时间6月3日，特朗普在接受福克斯新闻的节目采访时反驳了“进地堡”的报道与批评，声称自己当时的举动是“视察”。戳：O被外国网友称为“堡藏男孩”？特朗普赶紧澄清：瞎说！我那都是为了……视频：L特朗普否认被带入地下掩体避难：假新闻！我是白天去视察的,,,,特朗普曾被短暂带到白宫地下掩体,1,0,2,2020-06-05 13:59,微博 weibo.com,,http://type=feedvideo&objectid=2003338005:4512455720894470&keys=4512455727251876&cover_img=//puui.qpic.cn/qqvideo_ori/0/o0976ipxfgd_496_280/0&card_height=280&card_width=496&play_count=2789&short_url=http://t.cn/A6282XMA&encode_mode=&bitrate=277&biz_id=231268&current_mid=0&key=tblog_card&title=特朗普否认被带入地下掩体避难：假新闻！我是白天去视察的&full_url=//m.v.qq.com/play.html?vid=o0976ipxfgd&ptag=887&object_id=2003338005:4512455720894470&video_src=https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=o0976ipxfgd,
4512455718374955,J5e1Rz8HV,5994003317,老板联播,【#默克尔称美国两极分化严重#：对弗洛伊德的谋杀是恐怖的】4日，德国总理默克尔接受采访时表示，对弗洛伊德的谋杀是恐怖的。默克尔说，美国当前两极分化严重，希望各方达成共识。主持人随即说到，但是特朗普并没有这么做。默克尔回答，她与特朗普的对话内容“不能在公开场合说”。L海客新闻的秒拍视频,,,,默克尔称美国两极分化严重,5,8,33,2020-06-05 13:59,微博 weibo.com,,"http://miaopai.video.weibocdn.com/d5YEsMCPlx07DOW2n0Mg01041200bDXz0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519626&ssig=cznUu6K%2F64&KID=unistore,video",
4512455675365472,J5e1NmvNS,2083141205,浪花撞击岩石,转发微博,,,,,0,0,0,2020-06-05 13:58,微博 weibo.com,,,4512440874983124
4511992574035877,J51YRgVUN,2803301701,人民日报,【#英国首相喊话特朗普反对种族主义#】针对日前美国明尼苏达州白人警察暴力执法导致非裔男子弗洛伊德死亡，英国首相约翰逊3日表态支持民众和平抗议：“我要向特朗普总统、向美国人说，种族主义、种族主义暴力在我们的社会中没有立足之地。”L海客新闻的秒拍视频,,,,英国首相喊话特朗普反对种族主义,900,936,7065,2020-06-04 07:18,微博 weibo.com,,"http://miaopai.video.weibocdn.com/vofgQjWslx07DNeMO44g010412007usw0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519647&ssig=yiOONRhdo3&KID=unistore,video",
4512455667517636,J5e1MvxGc,7460533510,V3M5嵌共倩虑盅,转发微博,,,,,0,0,0,2020-06-05 13:58,小米手机4,,,4511992574035877
4511400364287543,J4MzGhZnV,6519012255,兵味er,【#希拉里批评特朗普滥用总统权力#美军可以拯救白宫，但是救不了美国的分裂】同时，机密录音曝光！CNN公布一段特朗普在6月1日上午和美国各州州长的一次电话会议录音，会议上#特朗普怒斥各州长软蛋#：全世界都在笑话我们。并称美国“成了全世界的笑柄”、“整个世界都在笑话我们”。#美国#L兵味er的微博视频,,,,"希拉里批评特朗普滥用总统权力,特朗普怒斥各州长软蛋,美国",72,90,333,2020-06-02 16:05,微博视频,,"http://f.video.weibocdn.com/7bNHHVTolx07DKEyCj8Q01041200zsu70E010.mp4?label=mp4_ld&template=584x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519660&ssig=kBv2IA9EGy&KID=unistore,video",
4512440854204332,J5dDThDJO,5514807297,Z漠Y然X,转发微博,,,,,0,0,0,2020-06-05 12:59,HUAWEI nova 2s,,,4511400364287543
4512440833155163,J5dDRdeNJ,5476477921,台湾热点视频,【特朗普是如何应对全国性抗议的？】路透社民调显示，大多数美国人同情因弗洛伊德之死引发的抗议，不赞成特朗普应对抗议采取的手段。环球瞭望为您梳理过去一周以来该美国总统的应对措施。#特朗普称将调用联邦军队维护治安##特朗普要求动用压倒性执法力量#@CGTN_GlobalWatch环球瞭望LCGTN_GlobalWatch环球瞭望的微博视频,,,CGTN_GlobalWatch环球瞭望,"特朗普称将调用联邦军队维护治安,特朗普要求动用压倒性执法力量",0,1,0,2020-06-05 12:59,Redmi K20 Pro 真旗舰,,"http://f.video.weibocdn.com/WU2ZoHvilx07DMdY8RDG01041200HJmm0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519660&ssig=1yxgdroinX&KID=unistore,video",
4512440832402526,J5dDRa50q,6987450530,用户唐泽源,#美国政客##特朗普用催泪弹“开路”拍照#总统要走过去拍照，警方催泪弹“开路”。美国网友：他们被气体包围，就为了他在教堂拍照吗？这是犯罪。L海底漫了个步的微博视频,,,,"美国政客,特朗普用催泪弹“开路”拍照",0,0,0,2020-06-05 12:59,iPhone客户端,,"http://f.video.weibocdn.com/000QzIEegx07DKMEggSj010412003tAE0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1591519660&ssig=l7lUKIUCSM&KID=unistore,video",
4467919485937109,IsuTyoUvP,5872636712,水山水山水山,PBS前线美国大分裂:从奥巴马到特朗普1/2(2020)#水山汉化#1这是PBS前线2020年开年史诗大片，通盘讲述2008年到2020年间美国两党政斗，如果走到今天这个地步。2上集从奥巴马竞选开始一直讲到2016年离任，从开始的雄心壮志到最后的灰心丧气3本以为黑人总统当选是美国团结新象征，没想到导致右翼最大反弹，造成最大分裂4反弹不仅针对民主党，连共和党建制派的几批人也整的狼狈不堪，使茶党和特朗普得势L水山水山水山的微博视频,,,,水山汉化,6657,575,4486,2020-02-03 16:27,微博视频,,"http://f.video.weibocdn.com/000W6rzElx07AFhdAm8U0104120fJa7C0E060.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1591519660&ssig=gEu6LWqkV9&KID=unistore,video",
4512440803690933,J5dDOfubb,1405293044,YANLihere,//@水山水山水山:美国骚乱开始，警察执法过度出人命后，一般会更小心，不过现在上街的只有一个巴掌，所以算不上大冲突。,,,水山水山水山,,0,0,0,2020-06-05 12:59,微博 weibo.com,,,4467919485937109
4512440803232003,J5dDOdyN5,2960161365,潍坊科技学院团委微博,#潍科微分享##特朗普第二次进入地堡躲避#听说“地堡男孩”这个梗，最近很火。,,,,"潍科微分享,特朗普第二次进入地堡躲避",0,0,3,2020-06-05 12:59,iQOO Neo 855版,"['http://ww2.sinaimg.cn/large/b0707a55ly1gfh9pnm3gmj20it07xmxx.jpg', 'http://ww1.sinaimg.cn/large/b0707a55ly1gfh9pobz59j20it0bmq4d.jpg', 'http://ww1.sinaimg.cn/large/b0707a55ly1gfh9poog0lj20it0bd0tz.jpg', 'http://ww2.sinaimg.cn/large/b0707a55ly1gfh9powao8j20it0eet9j.jpg', 'http://ww1.sinaimg.cn/large/b0707a55ly1gfh9pp17h1j20it0bgmxv.jpg', 'http://ww3.sinaimg.cn/large/b0707a55ly1gfh9pp7tagj20it0bzdgn.jpg']",,
4512440802942565,J5dDOcluJ,5083838438,猫眼看视频,#黑人死亡拍摄者被质疑见死不救##市长跪在弗洛伊德灵柩前大哭#马克龙送给特朗普的友谊之树被养死了L猫眼看视频的微博视频,,,,"黑人死亡拍摄者被质疑见死不救,市长跪在弗洛伊德灵柩前大哭",1,0,19,2020-06-05 12:59,,,"http://f.video.weibocdn.com/000FzG0Xgx07DPeu2WSc010412009BHq0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591519660&ssig=dbJEY6zr8Z&KID=unistore,video",
4512392375093996,J5cnHlnbe,6348159335,搞笑蜂,#英国首相喊话特朗普反对种族主义#网友：这衣服哪里买的？？？哈哈哈……L搞笑蜂的微博视频,,,,英国首相喊话特朗普反对种族主义,12,7,93,2020-06-05 09:47,iPhone 6s,,"http://f.video.weibocdn.com/yRYkeFAXlx07DP1gvoJO010412002OXI0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1591519660&ssig=ATMCsLGMFh&KID=unistore,video",
4512440802649001,J5dDOb77P,5678116112,袁圆远愿,转发微博,,,,,0,0,0,2020-06-05 12:59,荣耀20,,,4512392375093996
4512218568239936,J57RmyzAc,6776646880,扭腰1村民,这两天新的民调不少。除了昨天那个摇摆三州（俄亥俄、亚利桑那、威斯康辛）外，今天又有两个，都是关键州。虽未关键州或摇摆州都是那些可能投任何一方的，而不是坚定的蓝州或红州。德州是个比较红的州，但是因为移民和都市人口增长快，拜登完全可能拿下。最新民调显示，川普和拜登两人目前不相上下，属于平手。另一个是北卡罗来纳州，这个州一向红，川普上次以高于希拉里3.5%票赢了该州，但也是因为都市的郊区的力量越来越大，拜登拿下的可能也不小。最新民调是拜登49%，川普45%。,,,,,20,54,105,2020-06-04 22:16,微博 weibo.com,,,
4512440794510087,J5dDNiVhl,2036755587,球迷1998,//@冬蓝星:指望川普来倒逼中国改革那是痴人说梦。中美紧张局势的受益者是两个民粹政府，多好的转移国内矛盾的工具//@陈晓鸣在湾区:回复@沉默的太一:文字回复发不出来。  评论配图  //@沉默的太一:特朗普的确不乐观。但是如果特朗普挂掉，谁能倒逼中国改革开放呢。,,,"冬蓝星,陈晓鸣在湾区,沉默的太一",,0,0,0,2020-06-05 12:59,微博 weibo.com,,,4512218568239936
