question_name,answer_content,voteup_count,comment_count,created_time,updated_time
2020 年了，《英雄联盟》真的还火吗？,初中班上放了一首歌，什么长枪依在，德玛西亚，永世长存，陷阵之志，有死无生，班上很多男生沸腾了，而我并不知道他们在说什么。后来跑网吧没事干找到了英雄联盟。过了新手教程还是不会玩...这游戏好难啊，机器人好厉害。约了三个人打人机3v3完全打不过...猴子推荐打野？一级推荐刷三狼？艹，野怪也打不过...不玩了，天涯明月刀启动后来有时候在网吧无聊也会打开LOL一个人玩一会，虽然还是打不过，但是勉强知道怎么玩了。高中认识一个朋友经常打撸，据说是钻石，天天让我帮忙下什么小智，什么小苍的解说视频...我说，下次你带我玩呗，教我怎么玩，毕竟大家好像都会玩的样子...他说“好”，不过我等来的只是一次又一次被鸽，唯一一次和他一起去网吧，他说让我一个人玩会...我就一个人玩了一下午...从那以后再也没怎么玩过了。从初中就喜欢玩枪战类游戏 虽然很菜，但是偶尔也杀人，后来我偶尔也玩LOL，不过玩这个游戏的唯一理由是在我玩别的游戏玩腻了的时候我能一边听歌一边玩，枪战的则不行。刚上了大学沉迷守望先锋，别的都没玩过。室友三个人只有一个是LOL玩家，第二年他买了个电脑被他拉着四人开黑，他说以前是一区钻石（虽然到现在也没证实过）不过感觉确实挺强的，什么都会玩，教我连招，教我走a，教我插眼，教我反野（虽然到现在也不会走a）。后来他天天打adc，我就辅助他，一开始什么都不会，只玩光辉，简单无脑。他说你玩这种垃圾英雄做什么，我从来都不玩。后来我carry的时候还是在我身边喊666。光辉玩到7级成就后依然天天玩，我不会玩别的。直到有一天遇到了对面锤石，让我连死四次，蹲二塔草丛我还没去线上又死了，太折磨人了吧~....从哪以后我就再也没玩光辉了，买了个锤石。adc又说你买了干嘛又不会玩，果然开始几局确实很菜，又被骂了。然后他让我学青蛙玩cd流锤石，玩了几十把后，钩人的感觉确实挺爽，中后期勾住基本走不掉，但是前期钩不中不好打，然后就玩电刑锤石，二级勾到不交闪现治疗就是死，我就一直这样辅助他玩了200把。一般情况还是能稳住的。。当然几乎每天能听到他的666。大学室友三个，一个据说是钻石的adc，一个很有天赋的打野，一个只喜欢玩肉肉的英雄，一个什么都玩什么都菜的我。他们三个打游戏，除了快乐外还有一点，只想赢，这种氛围我并不喜欢，每天看他们各种甩锅其实我很烦，我想说“其实我并不喜欢玩这个游戏，我以前玩这个只是因为能边玩边听歌”但是我从来没有说过，只是默默的背锅然后听歌，自闭。之前玩守望的时候经常打着打着给对面来个“你好”，对面做个表情什么的。lol基本都是打打杀杀，我觉得有点无趣，有一次对面说我们来跳舞吧，于是对面四个人来了中路我们来了三个人一起跳舞，我让另外另外两个室友一起来中路玩啊。室友说别相信对面，可能你们跳着跳着不注意就把你们杀了，我们赶快发育，于是他两吃三路兵线，刷两边野区。我看到了并不开心，他们只想赢，对我而言游戏输了就输了，开心就好。他们是如此的不信任别人，而我虽然老是被人骗 ，但是还是一次又一次选择相信对面。我也不知道到底什么才是正确的。现在我已经在外面工作了，也没有时间玩游戏，虽然我最开始玩LOL只是因为各种原因才玩 ，但是不得不说短短几年还是给我带来了不少快乐，虽然很菜，虽然经常背锅，虽然现在很少玩了。但是我想说，LOL真好玩！,517,205,2020-05-01 02:34:33,2020-05-31 06:11:51
英雄联盟(LOL)是否已经沦为了运气游戏？,我跟朋友从黄金双排到铂金，然后我单排从铂金打到钻石，对这个深有体会。我玩剑圣，我朋友主玩上单，石头人或者剑姬或者其他的什么，有时候会玩中单卡牌。我的剑圣跟朋友双排的时候从黄金三打到铂金四的胜率是80%；然后从铂金四打到钻四我单排的胜率是56%。怎么个意思呢？就是我的剑圣在黄金分段基本上就是屠杀，我跟我朋友基本上每把都是2v5，无论是分带还是打团，队友在旁边看看戏，吃吃经验推推塔就能赢。然后铂金分段就要认真一些配合队友打了，得注意队友给的信号，队友的技能以及和队友之间的配合等等。然后我的铂金一到钻四晋级赛还打了整整五把。然后钻石就没打了，试了两把，赢了，但是比较混。所以我觉得吧，当你的实力跟你的段位完全匹配的时候，那确实就是运气游戏，你没法carry，队友也是看各自的操作和配合。但是说句实话，我从黄金打上来的时候，队友确实脑瘫，这个不假，我真的常常跟我朋友说，这把要是没我俩，他们这些傻逼怎么赢？有些玩家的操作看了你都会怀疑你自己，我怎么会跟这种傻逼排到一起？他是怎么打上这个分段的？当然，打黄金的时候我无所谓，只要你别送太厉害，中后期我都能给你翻过来。但是打铂金碰到了这样的玩家我就毫不客气的变成了一个祖安人，你不骂他两句你实在气不过。就TMD离谱。碰到正常队友，正常操作，正常意识，正常配合，我估计我铂金到钻石的胜率都至少在60-70。但是不可能啊，英雄联盟这个游戏，各个年龄段的玩家都有，你怎么知道你会排到一个什么样的玩家？网传的那么几个六七十岁的大爷玩亚索都能C，但是你看虎牙某霸，前几年还是从职业退下来当主播的呢，现在呢？我看看他啥时候能成霸王。所以我打到钻石我都不玩了，知道自己上不去了，除非请两个代练陪玩，否则我也就是赢一把输一把的那种玩家。再有就是，我只对剑圣这个英雄比较钟情，剑圣上不去分了我也就不打排位了，因为其他的英雄根本不感兴趣，所以要么打到自己的顶峰就别玩了，玩也是浪费时间，一天打下来分还是停留在原地，没意义。多看看直播，学学技术，真想上分的话就沉淀沉淀，用心想想。,94,147,2020-06-08 05:38:26,2020-06-08 05:38:26
《英雄联盟》有哪些英雄迅速改变了你的段位？,泽拉斯，这个英雄神奇的一批，我甚至想整个英雄联盟没有第二个这么神奇的英雄了。作为一个28岁开始玩英雄联盟的老年人，上单完全不懂食物链，打野除了砍野怪啥也不懂，AD完全莫得感情，辅助能把AD气的让我3级去游走。还好补刀基本功是有的，一脸懵逼的打完全不认识的英雄也能有来有回，成天混迹白银三四，直到开始玩泽拉斯。在我依然是除了中路四路不会的情况下，作为一个少见的排位黑洞，选泽拉斯高胜率高MVP率一路提升，直到我摸到了电一黄金一到白金晋级赛，我觉得泽拉斯在手我就掌控雷电，然后一把除了我全场炸穿，一把中路没位置给我，一把尽力局。当场卸载。唯一的精髓：保持距离。不要觉得泽拉斯是个手长的法师，你要记得，泽拉斯是手最长的英雄，可以单方面吊打任何英雄。出现在集锦里的泽拉斯，被秀一脸，都是主动贴上去给机会造成的。在我手里，这基本不存在。可以不杀你，可以少拿个人头，不要自己走到危险范围，任何人有贴近的趋向，直接就走绝不恋战，真要是被直接突脸那谁也没有办法。不需要懂什么对线食物链，也不需要懂游走gank，路短手长，认真补刀，随性压制，混起杀人书，就猥琐。泽拉斯的核心就是Q，不是EWQ。3秒一个1400距离，过了30分钟一Q1000伤害。Q得中就打得过，无论是什么英雄，走位不好的线上就可以往死了打，直接打穿，想还手都难，1400距离Q中两下就开大，就没有我打不过的AP。打不过会玩的刺客，劫男刀女刀这种，你敢杀我一次保证你摸不到第二次机会。想在我身上滚雪球？你还不如去刷个F6。女神泪摸出来，真眼插F6草丛A鸟回蓝，回城传送回线，就强行猥琐Q兵，就算你线上手法意识全方面吊打我，但是你滚不起雪球，也拦不住我发育，就算给你贡献了一个人头，但是十分钟后局面就开始反转了。我不会再漏刀，我塔血量健康，你没优势了，我支援野区支援上路下路只需要挪挪脚就可以开大，而你再游走中一塔没了。猥琐即是真理。杀人戒出杀人书，不死就是正义。你看不到我我还能补兵你气不气。全程对C位有致命威胁，能Q就Q，C位中一发Q，马上就开大招，一套打死，后期就算你满血直接开大，不死也大残。没打死就再来一Q，再不回家就真死了啊你还不走。泽拉斯欺负任何脆皮都爽的一批，仗着手长单方面吊打，吉格斯也不是对手，传统手长AP没有一个是对手。泽拉斯没有优势就打不动肉，需要天赋+法穿棒+面具还要高法强，都堆出来快结束了。总结：不要跟我谈操作，没有光速QA，没有光速R闪，啥操作都没有，老年人手速毫无压力，唯一连招就是EWQ三连有手就行。不要跟我谈操作，我能摸到你，你够不着我，你操作啥？任你超光速QA锐雯，你还能突1400码骑我脸还是咋滴？不需要认识对面英雄，对线难度为0-5，不存在10。不需要了解什么对面英雄几级斩杀线，不需要了解食物链。你菜你炸穿，你强我萎缩，真眼A野怪，见Q不见人。意识需求低，该打谁该救谁都不需要你考虑，打团唯一的思路就是，我只需要Q到人。永远远离团战漩涡中心，你进我退，你退我蓄力Q，你再退我开R，满层杀人书，Q谁谁怀孕。伤害简单粗暴，R技能超远范围，不需游走即可支援，能压制，能封走位，能收残血，能打AOE，能补兵。一个没玩过绝大多数英雄对所有英雄机制了解仅限于“见过”的白银老年玩家，每天下班只能有三四局的游戏时间，就凭一手操作性约等于0的泽拉斯，差点混进电一白金，足够说明什么了。补充：我以为我们的讨论是建立在正常的游戏局面上，但是为什么一直有人往崩了聊？我说就算是线上被压制，就算你根本不清楚对面英雄操作空间斩杀线，就算你根本不了解怎么去做支援怎么帮助队友，没关系，泽拉斯有非常优秀的龟塔发育能力，有不错的简单无脑的支援能力。这并不代表泽拉斯线上打不过别的英雄，预判玩的好，泽拉斯是可以做到压着打大多数英雄，在低段位，联盟最长手，可以理解？我就是说说泽拉斯的发育能力强，容错率高，低门槛，你跟我谈越塔，你跟我谈支援，还蹲我草丛？线上打不过对面，就硬要强行送上去给对面滚雪球才是你们的玩法？选择龟塔不正确？龟塔还能Q兵反而是弊端了？被压制也有大招能支援也是弊端了呗？线上打不过干脆放弃支援反而是正确打开方式？你们脑回路咋这么精明呢？谁不怕越塔英雄来越？谁不怕蹲草丛？还有人说中单青钢影打野瞎子到6无限越塔怎么办？这俩人无限越塔哪个AP遭的住？男刀劫我线上怕你也就算了，吸血鬼卡萨丁怎么也想把泽拉斯压在塔下？你疯了还是我疯了？真当泽拉斯全是背景板了？能正常聊天吗？我就是分享一下我上分的英雄和主要思路，我就是不会玩大多数英雄，我就是对线菜鸡，岁数大了脑子跟不上手，但是泽拉斯能让我零操作无脑压制原本比我强的对手。就算是被天克，我苟的住还能发育，还能打团，就这些。你们看看觉得有道理就点个赞，不点也没关系。觉得我低端那就翻页，非要杠我还杠不到点上，有意义吗？最后补充。1，我所主要写明的，是泽拉斯的下限，我意图说明泽拉斯在完全被压制的时候，仍然有着高于其他英雄被压制的战斗力，无论是抗压发育还是劣势支援。为什么泽拉斯能使我从白银摸到白金门槛？因为大部分中单局我都直接把对面打穿了。每当我中路顺利拿到优势的时候，我就希望上路下路就算劣势也要稳住，别崩，别被滚太大雪球，我起来还能打。我也认为当上路下路辛苦对线打出优势的时候，他们也会希望我中路在被压制的情况下稳住不崩，不送人头，对面优势再大能大多少？2，要杠我请杠到痛点上，评论区有人指出不是泽拉斯太强而是这个英雄契合我的个人天赋，我觉得他说的也有道理。他说我是个人情况，但是我的回答也没跑题，所以我就闭嘴了。你们用中野联动/越塔/刺客游走来杠我，请问这种情况下常规AP难道还能比泽拉斯更有发育和支援优势？3，女神泪出大天使，这是我在打男刀劫这种六级突脸不讲理的英雄时认真比较后的选择，电刀移速快附带伤害高清线最强谁不愿意出？但是衡量赖线蓝量需求再考虑气定神闲无法有效击杀回蓝，增加自己的蓝上限是最适合POKE的，几百蓝没几个Q就空，对我来说无法做到放肆清线+poke，所以我选择叠女神泪，对面是刺客英雄，大天使的护盾也为泽拉斯提供了一些抗突进生存能力，法强加成也高，提升了伤害上限。在线上顺利的时候，电刀或者鬼书才是泽拉斯的正确打开方式，女神泪是认命龟塔抗压的选择，你们不要嘲笑这种小人物式理智，反正我这风格女神泪挺契合的。,1334,453,2020-06-20 17:03:06,2020-06-27 15:12:12
英雄联盟下限最低的英雄是谁？,一个英雄下限低，说明他一定需要一定的操作。那我们就分几类一非指向性技能英雄代表：泽拉斯，佐伊等一不小心，就会四大皆空。众所周知，泽拉斯推荐出装 电刀无尽二搞队友心态的英雄代表：冰鸟的墙 巴德的大招 皇子的大招等这类英雄，准星差点的，手下没分寸的墙卡队友，干扰回城，把队友和队伍隔离，大招金身杀人的队友，皇子把自己adc和对面最肥的上单框在一起想想就刺激呢三救死扶伤代表：牛头 巴德 瞎子护国神牛 金身掩护 救死扶伤脚------------很多时候，是敌我的下限敌方压缩我方压缩敌方闪现我方闪现敌方gank我方gank敌方下路崩盘我方下路崩盘敌方打团我方打团敌方反应我方反应敌方ADC我方adc敌方抱团我方抱团敌方发现残血我方发现残血敌方游戏结束我方游戏结束：我方战士敌方战士我方法师敌方法师我方打野敌方打野我方adc敌方adc我方辅助敌方辅助,1358,155,2020-06-17 20:50:30,2020-06-17 21:53:30
新手如何正确入门英雄联盟？,先说明一下，本人入英雄联盟5年，就是地图大概的那个赛季前开始玩的，经历了铭文的删除，野区大改，从被韩国战队支配的恐惧，到中国连续两年S赛冠军，我是那么多英雄联盟玩家中的一员，因为热爱这个游戏所以花费了满多精力去了解和关注。虽说现在也只是在黄金分段徘徊哈（哈哈哈，没错就是队友的锅），英雄联盟这游戏真的很难说，真的就是玩的越久越觉得好玩，它对于新手玩家其实不是很友好的，除非你有FAKER的天赋（呵呵），所以在这里我用王者荣耀做比较，可能更多的人能够明白一点吧。游戏对比（如果玩过王者荣耀，就不需要看这个）英雄联盟是MOBA游戏，简单说就是通过各种手段，把敌对方的水晶，最后的基地打爆就赢了，不是那种充钱就能变强的游戏嗷。（虽然老板还是马化腾 呵呵）各位玩过王者荣耀吧，其实两个游戏的性质差不多，就是一个类型的，但是，但是，但是（重要的话说三次），两个游戏在难度上真的差很多，不要以为你王者星耀，在英雄联盟你就是弟弟。（不是鄙视王者荣耀嗷，真的差很多）还是一样，出门买装备，然后上线对线。关于对线，切记，一定要补刀啊（ 憋像王者荣耀一样随便补补刀嗷）英雄联盟中没有补刀或者打野怪就没有钱的，所以和王者荣耀相比，英雄联盟的补刀是一个很难的一个点。哦英雄联盟只有回城才可以买装备啊，（只有特殊英雄才可以买装备在外面，就一个英雄好吧，而且那个英雄丑的一逼，没有女的会玩的）视野才是英雄联盟和王者荣耀本质的差别，王者荣耀地图小，而且基本上除了草丛可能看不到别人（而且有些草丛还可以看到别人，别问我也不知道为什么），很多新手刚开始玩会死很多次，就是因为没有视野。英雄联盟有一个东西叫 眼 下面这个东西。这个是在一定区域提供视野的，反正新手要知道这个东西，还有真眼，区别就是普通的眼过一段时间就会消失，但是不需要钱买，真眼会一直存在直到被敌方的摧毁，但要钱买。总的来说，英雄联盟就是超级难版的王者荣耀，主要难在地图大，视野，补刀并且游戏时长会久。英雄玩的好不好，强不强这些其实不是重点，现在很多王者荣耀的英雄也很难玩的。最主要的区别在于我之前说的那些另外的东西，还有意识，相信很多玩MOBA游戏的都听说过这个词，不过这很难解释，新手也没必要关注，简单来说就是游戏的理解，玩的久了自然就有了。好了，我想说的就这些，希望能有所帮助各位。也希望大家可以加入英雄联盟的大家庭，只有久玩，才会发现这个游戏的乐趣。加油各位。,0,0,2020-06-15 12:24:24,2020-06-15 12:24:24
你认为英雄联盟制作的最成功的英雄是哪一个？,我认为英雄联盟制作最成功的英雄是提莫队长。提莫队长正在待命。团战可以输，提莫必须挂。全职位置，随意摇摆全能一哥。呆萌可爱形象，吸引大量女玩家加入。,11,6,2020-06-25 14:14:31,2020-06-25 14:14:31
《英雄联盟》打上王者段位跟考上「清北」哪个更有难度？,文：秋刀图：受访者1.清华北大每年录取共约6500人，2019年全国高考人数约为1031万人，录取率约为0.058%——大约每2000人中，有1个清华北大。英雄联盟有29个大区，每个大区有200个王者名额，共计5800个名额，而2018年英雄联盟稳定在线玩家约有4693万人。以艾欧尼亚大区举例，排位人数接近160万人，王者率为0.0125%——大约一区中每10000个排位玩家，才能出1个王者。不是每一个玩家打排位都为了认真上王者，也不是每一个学生都能做到认真学习；不同大区上王者难度不同，不同省份上清北的难度也不同。有人遇到合适自己的版本，在一个赛季冲上王者；也有人高考那年自己擅长的科目难度大而不擅长的科目难度低，凭风借云超常发挥。这个问题很难讨论出一个是非黑白，对大多数人来说，这个问题只是一些口舌之争、意气之杠；而对一小部分人，这个问题或许值得他们问一问自己。2.高考649分；英雄联盟最强王者500分。这就是复旦大学校队辅助，蔡栋梁。今年大二的他就读于复旦大学，当他听到我们希望采访对象满足「成绩和段位双高分」的要求时，他觉得自己「好像不算分特别高的」。而其实蔡栋梁高考分数649，同年，清华大学在福建的录取分数线是684。三十五分的差距，让他看来自己「两个都不是特别顶尖的水平」，有种近乎退让的谦逊。两个光环，基本能使他在同龄人价值判断中立于不败之地，但他时时刻刻都在试图让自己离开光环照耀下。既不认可自己身上有什么神赐的过人天赋，也否认自己为现在拥有的一切付出过什么超绝的努力。回忆起高中生涯，蔡栋梁表示，自己的学习和课业压力不大。按部就班的认真听讲、认真完成作业，就能让他成绩稳定一路上升。他在重点中学就读，高三模拟考试考到年级前十，「真正觉得清北是有可能考上的」，到了高考，他瞄着最好的学校，最后去了复旦。他自嘲「考上清华难，毕竟我上了王者也没有考上清华」。「…也不遗憾。我就是做好自己该做的那种人。」他想了想。2018年，蔡栋梁进入复旦，专业是计算机科学技术。大一时间很多，黄金的蔡栋梁开始真正意义上的冲分，复旦的英雄联盟玩家不少，蔡栋梁的舍友天赋很强，初中就打上过钻石，教给蔡栋梁很多东西，经常一起看直播。「当时觉得上个钻石就满足了，后来IG夺冠了，出了冠军皮肤，想着能不能打个钻二去峡谷之巅领免费点券买皮肤」。适逢泰坦加强，之前从没玩过它的蔡栋梁直接用泰坦辅助上分，一下就打上钻二。电竞社招新，蔡栋梁顺利进入。这时，想成为校队辅助、不拖队伍后腿成为他上分的最大动力。一个暑假，蔡栋梁从钻石打上大师二百分左右，赛季末达到王者五百分。他对待游戏很认真，几乎不互动。「虽然有时候觉得游戏而已，那么认真干嘛，但是有时候觉得自己对待游戏真的还蛮认真的，特别是打到高分局以后」。不仅是认真，更要用心。Doinb有一句话，“我是用猪头打游戏的”，蔡栋梁很在意这句话里含有的逻辑，「这个游戏是要用一点自己的想法去玩的」。上王者，其过程已经不再仅仅是游戏了。在蔡栋梁看来，成为能上王者的人，最重要的就用脑子玩游戏。巧合的是，在复旦有一个逻辑推定，既然能够考上复旦，没有一个是脑子不够用的。他认为打LOL和学习有相同的地方，「其实上分过程中，我也在学习就是那些能打到王者1000分或者更高的路人或者职业选手的操作，但是这是一种不像学习知识那么可视化的东西，需要自己去体会，甚至在游戏中领悟的。」对于像蔡栋梁这样的人，游戏打得好只是一个既定事实，「上王者这件事对于未来规划应该还是没有什么影响，不会说未来一定会去从事英雄联盟或者游戏的相关行业」。即使进入，也没必要进入赛事，或游戏文化方向。对于一个复旦大学计算机系的男孩来说，「以后的话看机遇吧，如果机会合适，刚好专业知识又能用上的话，游戏行业也是未来的选择之一」。游戏不用成为「出路」时，「玩得好」是一种真正的轻松。对于蔡栋梁来说，英雄联盟像一个伙伴，「就像篮球爱好者对篮球的那种感情」。在复旦的学习生活里，最强王者的价值只是「还好吧」。但是，在学业这边，他却实打实地在面临压力，「就觉得身边的人学习能力都很强，他们都是六百八进来的，就是没考好只考上复旦的那种……」，在游戏和学习两者中都做到很不错的他，谈的更多的仍然是学习。对于一般人来说，拥有一个王者段位，也许会是一件改变人生走向的事。或许会从此走向职业的选手道路，或许会去从事相关职业。即使没有这种大层面上的计划靠拢，大多数人也会因为在游戏中投入过多的时间精力，以至于有生活或情感上的偏移倾斜，甚至让游戏取代生活。因为人的惰性实在容易将人推向一个对自己有利的判断体系中，从而放弃需要更辛苦才能得到更多的努力。而在蔡栋梁身上，能看出一种并不多见的平衡，有种很强的生活力量拉平了游戏的权重。这张力量既来自于从小到大的教育，把学习的重要性、良好的行为习惯已经刻在了骨子里；也来自于更高的能力给予的自己的选择权——即使蔡栋梁自己不觉得自己有什么过人之处，但「做好该做的事」，对绝大多数人来说，也实在不是一件容易的事。·结语这个问题难以讨论，除了维度不统一、数据难以直接类比，还有一个原因——对于考清北，天赋与努力的作用都是肉眼可见的。而对于英雄联盟，天赋可证，努力还是不可证的。我们都明白「没错，有天赋真的可以为所欲为」；但在清华北大里，有“努力家”证明，「努力是成就神话的另一条道路」。也许，以后会有一个王者，站出来告诉我们，「我就是记住了所有峡谷里的信息点，像学习各科一样学习了各个位置和英雄，补好每一个兵，赢下每一局游戏，胜利加24胜点，失败扣16胜点——就这样，靠努力一步一步打了上去」。,734,298,2020-04-16 13:51:02,2020-04-16 13:51:02
《英雄联盟》最不需要操作的英雄是哪个？,这个我有发言权。我有一开黑同学，菜的离谱。你说石头人简单，他放不好大，总想着一大多，导致错过机会；你说蒙多简单，他控制不好血量，大招刚开就被秒掉；你说大树简单，他老想着a被动结果害死自己；你说小法简单，他经常为了k头而空大（或者不放大）；你说巨魔简单，他经常一局输出三位数，根本摸不到人，柱子不卡队友我们都觉得谢天谢地；你说龙龟简单，他经常开了q，移速一快就智商骤降，走位接技能，撞到野怪小兵，然后送掉……对他来说，玩那种大家普遍觉得混的，可能还不如玩个刺客，起码他那种脸滚键盘的操作冲进人堆也还能一换一，运气好还多换一个。最后我们发现还是泰坦最适合他。直接r起手，必中的技能怎么说也不能空了吧，起码也能逼个净化水银什么的。然后q上去，q不到也无所谓，就走上去，走对面脸上，石像鬼一开，w、e随便放，能a谁a谁，最好把五个人都a一遍，a不到也无所谓，你死了给咱腾个地方就行。有几个兄弟问小法怎么空大，这，空过的自然懂。,552,154,2020-06-22 02:44:13,2020-06-25 10:38:13
为什么部分《英雄联盟》玩家看不起《王者荣耀》？,首先按照鄙视链这是正常的事情，当初王者打着联盟的旗号发家，就算是以后纯正的联盟手游出了，我敢肯定端游照样鄙视手游。然后还有一些别的原因。1，每次看比赛，总有一些脑瘫在刷屏，看到瞎子喊他达摩，看到寒冰喊他后羿。本来就是照着联盟搬的英雄，你这么说谁也会不乐意，就像在生活中只有人会说你长得像你老子，假如有人说你老子长得像你，那人不是找骂就是个脑瘫。2，偷梗，不懂的可以百度诺言416事件，虽说id这东西就跟名字一样，没人说必须不重名，但明白人多多少少会避开些，但是你用别人的名字，还用别人的梗就有点过分了吧，假如有一天有一个叫林俊杰的歌手买了热搜，而且名字是行走的cd林俊杰，你点进去一看，是一个不认识的小歌手，不被骂才怪。从此塞拉斯，偷，行窃预兆这些名字也就被按上了。3，操作简单，手游摆脱了端游的局限性，可以谁时随地的进行，也就不可避免的降低了操作的难度，所以王者荣耀会有那么多的小孩和女生玩，所以王者荣耀会被叫马桶贴膜游戏。4，电竞，说到kpl时候应该听到最多就是贴膜游戏也算电竞？英雄联盟虽然不是最早开始发展电竞的游戏，但是他是把中国电竞推向顶峰的游戏，王者荣耀的观赏程度比起端游确实差好多，所以两者都等于电竞的时候就会有不可避免得摩擦。,2,0,2020-04-12 14:30:16,2020-04-12 14:30:16
对于女生来说《英雄联盟》有难度吗？,看到这个问题，我...岂止是难，简直是贼TM难！！！玩了四五年了，一直在很认真的学习，一开始喜欢玩寒冰女枪女警韦鲁斯ez，有一颗想C的心，甚至口出狂言：这辈子不可能玩辅助…后来沦落到只会玩风琴星娜璐 = =我有什么办法，脑袋不灵活，反应慢，手速也慢，天秀的操作一次也没打出来过，至今只成功闪现躲过石头人大招一次…后来知道了操作不够，好吧，意识来凑，天天看主播玩，跟着学。在打了一千把以后，慢慢的开始会了起来，混到了黄金，心态贼好，队友骂我我道歉，队友吵架我劝架，实在生气就屏蔽。哎，因为只会玩软辅而被队友嫌弃说混子，然鹅他们并不知道我已经很认真很努力了，哭泣。不喜欢跟很厉害的人双排，那样会被人说是躺，混的意图太明显。只会和同段位主玩adc的人双排，只希望是在我的保护下他才更强，我也想证明自己存在的价值啊！！！QAQ不说了，希望今年能上个铂金，加油(ง •_•)ง更新上铂金啦！哈哈哈我也太腻害了，开心！,13,20,2020-05-22 00:26:55,2020-06-05 09:58:26
